position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,distance,accuracy,gir,prox_fw,prox_rgh,scrambling,great_shots,poor_shots,sg_bs,year
CUT,"Manassero, Matteo",2,,0.181,1.058,-0.613,-0.402,0.043,0.224,278.6,0.607145,0.6111150000000001,47.824375,30.64998,0.7058829411764707,2.0,5.5,-1.015,2025
CUT,"Hillier, Daniel",2,,0.518,-0.63,-0.208,0.544,-0.295,0.224,295.6,0.5,0.63889,38.076350000000005,50.4167,0.5789489473684211,4.0,3.5,0.336,2025
CUT,"Cantlay, Patrick",3,,-1.316,1.147,0.754,-0.862,1.04,-0.276,291.04999999999995,0.42857,0.583335,37.54631111111111,46.571442857142856,0.68750375,3.5,4.5,-0.108,2025
CUT,"Taylor, Nick",3,,0.501,-0.657,-0.631,0.51,-0.777,-0.276,290.6,0.57143,0.55556,44.06441818181818,62.60712857142857,0.458335,2.0,5.5,-0.121,2025
CUT,"McCarthy, Denny",3,,0.301,-0.462,0.462,-0.577,-0.577,-0.276,276.25,0.5,0.66667,32.33951111111111,87.43058333333335,0.5,3.5,3.5,-0.114,2025
CUT,"Kim, Si Woo",3,,-1.333,-0.116,-0.067,1.24,1.057,-0.276,292.35,0.57143,0.63889,43.78026363636364,50.3148,0.5454554545454546,3.5,3.5,1.173,2025
CUT,"Ortiz, Carlos",3,,-0.558,0.517,-0.174,-0.062,0.282,-0.276,290.54999999999995,0.35714,0.555555,39.875,62.89814444444444,0.5263142105263158,4.5,3.0,-0.236,2025
CUT,"Campbell, Brian",3,,0.525,0.748,-1.816,0.268,-0.801,-0.276,280.20000000000005,0.6785749999999999,0.63889,49.8426037,76.46427142857144,0.7647058823529412,2.5,5.0,-1.548,2025
CUT,"Pendrith, Taylor",3,,-0.076,-0.476,0.507,-0.23,-0.2,-0.276,299.6586206896552,0.464285,0.75,37.33335,41.0208,0.5454509090909091,4.0,3.5,0.277,2025
CUT,"Greyserman, Max",3,,0.585,1.426,-0.38,-1.907,-0.861,-0.276,296.00689655172414,0.285715,0.555555,45.205173076923074,43.1905,0.7777750000000001,5.0,6.5,-2.287,2025
