position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,distance,accuracy,gir,prox_fw,prox_rgh,scrambling,great_shots,poor_shots,sg_bs,year
T26,"Ancer, Abraham",1,-2.0,0.361,-0.902,0.855,0.413,0.366,0.727,288.775,0.8214275,0.625,33.42387258064516,64.57985714285714,0.540541892,2.75,3.25,1.268,2021
T26,"Schwartzel, Charl",1,0.0,0.159,-0.84,0.742,0.666,0.568,0.727,295.75,0.80357,0.6805574999999999,36.32286885245902,81.34127,0.5588258823529412,2.0,3.25,1.408,2021
T26,"Champ, Cameron",1,0.0,-0.503,-0.09,-0.121,1.441,1.23,0.727,318.775,0.7142850000000001,0.6250025,37.24633448275862,67.034425,0.5428571428571428,6.0,3.5,1.32,2021
T34,"Palmer, Ryan",2,3.0,0.472,-0.861,0.892,-0.025,0.005,0.477,305.35,0.6250025,0.6388875,29.81690535714285,71.43205555555555,0.468746875,4.5,3.75,0.866,2021
T34,"Thompson, Michael",2,-1.0,-0.088,0.075,-0.25,0.74,0.565,0.477,289.95,0.75,0.6111125000000001,41.94945714285714,43.17107272727273,0.5609773170731707,3.0,3.5,0.49,2021
T34,"Fitzpatrick, Matt",2,1.0,-0.384,-0.363,0.109,1.115,0.861,0.477,297.075,0.8749975,0.6527775,40.534498305084746,94.07168,0.4615402564102564,3.0,3.5,1.224,2021
T34,"Wallace, Matt",2,1.0,-0.485,0.823,0.477,-0.338,0.962,0.477,286.825,0.71429,0.6527775,34.644152727272726,79.96566,0.5142834285714285,4.5,4.75,0.139,2021
T38,"Laird, Martin",3,2.0,-0.843,-0.26,1.9,-0.57,1.07,0.227,289.35,0.6428575,0.666665,32.499041176470584,69.64561666666665,0.5999991428571428,3.25,5.0,1.33,2021
T38,"Stenson, Henrik",3,4.0,0.895,-0.026,-0.675,0.032,-0.668,0.227,275.35,0.85714,0.597225,42.494365573770494,100.36444285714283,0.6190461904761905,2.0,2.75,-0.642,2021
T40,"Woodland, Gary",4,0.0,1.237,-0.788,-0.46,-0.012,-1.26,-0.023,305.975,0.5892875,0.6111125,36.44116851851852,63.12021538461539,0.57499875,3.75,3.5,-0.472,2021
T40,"Hughes, Mackenzie",4,4.0,-0.249,0.651,-0.48,0.056,0.226,-0.023,290.875,0.6785725,0.583335,41.69414642857143,89.34536,0.5142868571428572,2.25,3.75,-0.424,2021
T40,"Niemann, Joaquin",4,4.0,0.585,-0.412,0.011,-0.207,-0.609,-0.023,312.025,0.5892875,0.6666675,37.05797592592592,63.24431538461539,0.5454548484848485,4.5,4.75,-0.196,2021
T40,"Bezuidenhout, Christiaan",4,0.0,0.919,0.168,-0.905,-0.205,-0.942,-0.023,282.175,0.7142850000000001,0.4999975,42.97318333333334,75.60233,0.7250005,3.0,2.5,-1.11,2021
T40,"Wiesberger, Bernd",4,6.0,-0.618,0.848,-0.482,0.229,0.595,-0.023,295.475,0.7678575,0.6527775,38.88197586206896,72.67422222222221,0.6216208108108108,3.0,4.25,-0.253,2021
T40,"Munoz, Sebastian",4,2.0,-0.204,-0.038,0.325,-0.106,0.181,-0.023,293.1,0.6607149999999999,0.6527775,37.44556851851852,94.69798823529412,0.5142845714285714,2.75,4.25,0.219,2021
T46,"Fleetwood, Tommy",5,4.0,-0.543,0.125,0.49,-0.345,0.27,-0.273,294.425,0.6428575,0.694445,32.23123148148148,61.49126875,0.4799984,2.75,3.75,0.145,2021
T46,"DeChambeau, Bryson",5,3.0,-0.238,-0.804,-0.159,0.929,-0.035,-0.273,323.575,0.5535725,0.61111,29.074079166666667,61.594465,0.5135124324324325,4.5,4.75,0.77,2021
T46,"Todd, Brendon",5,1.0,-0.113,0.244,0.485,-0.889,-0.16,-0.273,274.9456140350877,0.8392825,0.583335,35.26177230769231,64.37233333333333,0.5588214705882353,1.75,3.25,-0.404,2021
49,"Kokrak, Jason",7,5.0,0.948,-0.907,-0.33,-0.484,-1.721,-0.773,300.9,0.57143,0.5694425,37.36809629629629,75.4533625,0.5641005128205128,4.0,7.0,-0.814,2021
T50,"Horschel, Billy",8,4.0,0.674,-0.384,-1.663,0.35,-1.697,-1.023,292.625,0.7678575,0.52778,38.20436724137932,88.99972,0.613636591,1.75,3.75,-1.313,2021
T50,"Olazabal, Jose Maria",8,3.0,1.231,0.554,-1.11,-1.698,-2.254,-1.023,259.45,0.767855,0.430555,41.52779016393443,49.68662,0.7380945238095238,3.0,4.0,-2.808,2021
52,"Molinari, Francesco",9,9.0,-0.591,0.146,-0.396,-0.432,-0.682,-1.273,291.7,0.6428575,0.583335,37.40216981132075,74.12902666666666,0.5121936585365854,2.25,3.75,-0.828,2021
53,"Herman, Jim",10,4.0,-1.267,-0.491,0.003,0.233,-0.256,-1.523,294.975,0.6785725,0.625,45.04669433962264,57.5287,0.4166658333333333,2.75,4.5,0.236,2021
54,"Scott, Adam",11,1.0,0.064,-0.493,-1.696,0.353,-1.837,-1.773,303.775,0.64286,0.6111125000000001,42.79781379310345,67.792225,0.4722205555555556,4.0,6.75,-1.344,2021
1,"Scheffler, Scottie",-10,-1.0,0.715,1.437,1.44,0.763,3.64,4.355,302.25,0.767855,0.680555,46.26038421052631,52.74966363636364,0.7272742424242424,4.5,3.0,2.203,2022
2,"McIlroy, Rory",-7,-8.0,-0.223,1.931,0.812,1.085,3.828,3.605,308.075,0.6785725,0.6944425,37.41190508474576,77.19985,0.6451616129032258,5.0,3.5,1.897,2022
T3,"Smith, Cameron",-5,1.0,0.984,0.477,2.313,-0.669,2.121,3.105,296.55,0.6607149999999999,0.65278,37.83047846153846,51.00553333333333,0.5600004,5.0,5.25,1.644,2022
T3,"Lowry, Shane",-5,-3.0,1.422,1.412,-0.97,1.241,1.683,3.105,298.275,0.8214250000000001,0.6388875,39.889805172413794,50.40381428571428,0.7297321621621622,3.5,3.75,0.271,2022
5,"Morikawa, Collin",-4,-5.0,0.18,0.952,1.326,0.397,2.675,2.855,295.35,0.7857125,0.6527775,31.392038596491226,39.23457142857143,0.562502188,3.75,3.25,1.723,2022
T6,"Conners, Corey",-3,-2.0,0.225,1.132,0.644,0.604,2.38,2.605,293.85,0.732145,0.6527775,45.92372413793103,46.36307272727272,0.6111125,3.5,3.5,1.248,2022
T6,"Zalatoris, Will",-3,-5.0,1.402,0.842,-0.193,0.554,1.203,2.605,304.5,0.6964275,0.5694425000000001,41.49191129032258,62.23828888888889,0.6944436111111111,5.5,4.75,0.361,2022
T8,"Thomas, Justin",-1,0.0,0.72,0.66,1.346,-0.621,1.385,2.105,300.975,0.57143,0.5555525,35.67367059,63.19555882352941,0.675,5.0,5.75,0.725,2022
T8,"Im, Sungjae",-1,3.0,0.936,0.222,0.382,0.565,1.169,2.105,299.1,0.75,0.6111125,36.30583333333333,50.12694285714286,0.5588226470588236,4.5,4.25,0.947,2022
T10,"Schwartzel, Charl",0,2.0,-0.042,0.634,1.582,-0.319,1.898,1.855,294.625,0.69643,0.6666675,38.785474576271184,82.60359166666666,0.6296303703703703,3.0,3.25,1.263,2022
T10,"Champ, Cameron",0,-2.0,0.299,-0.134,0.858,0.833,1.556,1.855,313.925,0.732145,0.694445,33.55153035714286,53.636272727272726,0.6333323333333334,4.5,3.25,1.691,2022
T12,"Johnson, Dustin",1,0.0,-0.609,1.137,0.975,0.103,2.214,1.605,293.375,0.6607175,0.63889,42.385688888888886,52.26308125,0.62500125,3.5,3.75,1.077,2022
T12,"Willett, Danny",1,1.0,2.135,-0.086,-0.729,0.285,-0.53,1.605,296.375,0.6607149999999999,0.555555,49.24221764705882,45.8955625,0.6666664102564103,2.5,2.75,-0.444,2022
T14,"Fleetwood, Tommy",2,1.0,0.072,0.476,-0.297,1.104,1.283,1.355,303.95,0.732145,0.66667,44.54987666666666,81.66690833333334,0.7142846428571429,3.25,4.0,0.807,2022
T14,"Kokrak, Jason",2,1.0,0.491,0.529,-0.703,1.038,0.864,1.355,299.275,0.8214250000000001,0.583335,43.23835483870968,45.3912125,0.5945932432432433,2.75,3.0,0.335,2022
T14,"Gooch, Talor",2,-1.0,1.408,-0.177,0.227,-0.103,-0.052,1.355,288.55,0.7499975,0.5972200000000001,34.24933333333333,53.56587142857144,0.7096774193548387,3.0,3.25,0.125,2022
T14,"Fitzpatrick, Matt",2,-2.0,-0.094,0.229,0.041,1.18,1.449,1.355,302.2,0.7678575,0.63889,40.90652459016394,58.76481000000001,0.5151518181818182,2.0,2.5,1.22,2022
T14,"Matsuyama, Hideki",2,0.0,-0.758,1.137,0.279,0.698,2.114,1.355,298.875,0.7321425,0.555555,37.94938771929824,73.02109999999999,0.62499925,4.0,5.0,0.977,2022
T14,"Na, Kevin",2,-3.0,-0.48,-0.262,2.348,-0.251,1.835,1.355,275.92499999999995,0.8214275,0.7083349999999999,38.90299558823529,107.13213333333331,0.5200008,3.0,3.75,2.096,2022
T14,"Lee, Min Woo",2,-2.0,1.659,-0.249,-0.346,0.291,-0.304,1.355,306.3,0.7142850000000001,0.569445,37.92036825396825,65.31251428571429,0.54999825,4.75,5.0,-0.055,2022
T14,"Westwood, Lee",2,-1.0,1.673,-0.64,0.597,-0.275,-0.318,1.355,289.35,0.6785725,0.5833375000000001,34.881319999999995,62.74631428571429,0.5675675675675677,3.75,4.0,0.322,2022
T14,"Higgs, Harry",2,-1.0,-0.346,-0.097,1.688,0.11,1.701,1.355,295.975,0.7321425,0.65278,39.64688983050847,46.3511,0.5714291428571429,4.0,4.0,1.798,2022
T23,"Varner III, Harold",3,-3.0,0.513,0.192,0.078,0.322,0.592,1.105,298.125,0.7142875,0.569445,38.04766545454545,77.39929,0.5609746341463415,2.75,5.25,0.4,2022
T23,"Garcia, Sergio",3,-1.0,-0.171,-0.283,1.695,-0.136,1.276,1.105,302.52500000000003,0.607145,0.694445,38.94100925925925,27.70158,0.6071435714285713,3.0,5.0,1.56,2022
T23,"MacIntyre, Robert",3,-3.0,0.533,0.492,0.113,-0.033,0.572,1.105,298.4035087719298,0.7321425,0.4999975,40.83655161290323,58.15482,0.6944447222222222,2.75,3.75,0.081,2022
T23,"Spaun, J.J.",3,0.0,0.183,0.058,0.615,0.249,0.922,1.105,287.7,0.8035725,0.6388875,39.38147419354839,31.504175,0.6129045161290322,2.75,3.0,0.864,2022
T27,"Rahm, Jon",4,-3.0,0.348,-0.049,0.063,0.494,0.508,0.855,301.25,0.73214,0.569445,40.30206379310345,68.78955555555555,0.526315,2.25,4.0,0.557,2022
T27,"Power, Seamus",4,-2.0,-0.27,0.004,0.458,0.664,1.126,0.855,298.025,0.75,0.5555575,43.75868813559322,42.54097272727272,0.67500125,2.0,3.75,1.122,2022
T27,"Hovland, Viktor",4,1.0,0.96,-1.133,0.591,0.437,-0.105,0.855,296.45,0.7321425,0.5416675,44.06542857142857,52.59045,0.525001,3.75,4.0,1.028,2022
T30,"Swafford, Hudson",5,2.0,0.172,0.072,0.295,0.067,0.433,0.605,293.61052631578946,0.7321425,0.6388925000000001,39.78264126984127,75.64967142857142,0.5666686666666667,3.25,3.5,0.362,2022
T30,"Glover, Lucas",5,1.0,-0.51,0.604,-0.053,0.564,1.116,0.605,286.525,0.8214275,0.6388925,40.76694426229508,67.8926,0.5428582857142856,3.5,4.0,0.511,2022
T30,"Henley, Russell",5,-2.0,0.067,-0.011,0.283,0.266,0.538,0.605,291.92499999999995,0.8035725,0.65278,35.95155606060606,99.78025714285712,0.5,2.75,4.25,0.549,2022
T30,"Leishman, Marc",5,2.0,-1.607,1.441,0.786,-0.015,2.212,0.605,296.6,0.6785749999999999,0.680555,40.699098305084746,57.17283636363637,0.6666651851851851,3.0,4.5,0.771,2022
T30,"Straka, Sepp",5,-1.0,0.696,0.248,0.038,-0.377,-0.09,0.605,292.425,0.625,0.5972225,38.17341999999999,50.722025,0.625000625,4.25,4.0,-0.338,2022
T35,"Simpson, Webb",6,4.0,-0.295,0.55,-0.424,0.524,0.65,0.355,291.2,0.767855,0.5138925000000001,45.5611,54.4571,0.5555571111111111,2.75,4.0,0.1,2022
T35,"Finau, Tony",6,2.0,0.027,-0.116,-0.156,0.601,0.328,0.355,295.85,0.7142875,0.6250025,39.28759814814815,76.59300666666667,0.56250125,3.0,4.25,0.444,2022
T35,"Niemann, Joaquin",6,2.0,-0.012,-0.424,0.404,0.387,0.367,0.355,304.075,0.6607125,0.5555575,49.51668490566038,50.71809230769232,0.5217423913043479,3.5,4.0,0.791,2022
T35,"Reed, Patrick",6,2.0,1.146,-0.282,-0.551,0.041,-0.791,0.355,291.125,0.7499975,0.5694475000000001,39.74260677966102,71.94567777777777,0.6410264102564102,2.25,4.75,-0.509,2022
T39,"Watson, Bubba",7,-1.0,-0.477,-0.972,0.521,1.033,0.582,0.105,294.475,0.8035675,0.625,36.27670666666667,47.16574,0.4705876470588235,3.25,4.25,1.554,2022
T39,"Hoge, Tom",7,1.0,-0.313,0.913,-0.246,-0.248,0.419,0.105,289.10877192982457,0.75,0.5694425000000001,42.39149672131148,61.19947,0.6333326666666667,2.25,3.75,-0.494,2022
T39,"Kim, Si Woo",7,4.0,1.214,-0.713,0.34,-0.736,-1.109,0.105,285.25,0.732145,0.5,35.387966101694914,64.42462499999999,0.6341456097560976,3.0,4.75,-0.396,2022
T39,"Cantlay, Patrick",7,-1.0,-1.391,-0.251,0.811,0.936,1.496,0.105,297.725,0.75,0.625,38.43899259259259,52.88316428571429,0.5675664864864866,2.25,4.0,1.748,2022
43,"Horschel, Billy",8,-2.0,0.059,-0.57,0.827,-0.461,-0.203,-0.145,290.4684210526316,0.75,0.6527775,35.43235967741936,46.1654,0.4375,4.25,4.25,0.367,2022
T44,"Kisner, Kevin",9,5.0,-0.517,-0.242,1.166,-0.802,0.122,-0.395,284.225,0.6785725,0.555555,36.99853770491804,74.84349230769232,0.3548364516129032,3.0,5.0,0.364,2022
T44,"Bezuidenhout, Christiaan",9,4.0,0.433,-0.501,-0.116,-0.21,-0.828,-0.395,279.95,0.75,0.569445,42.03422222222222,90.66355454545456,0.6060606060606061,3.5,3.5,-0.327,2022
46,"Davis, Cam",12,1.0,-0.219,-0.452,0.149,-0.623,-0.926,-1.145,291.85,0.6785749999999999,0.5694475,40.08744590163934,93.05701111111112,0.6052652631578948,2.75,4.5,-0.474,2022
47,"Woods, Tiger",13,6.0,-1.375,-0.12,0.226,-0.127,-0.02,-1.395,290.625,0.6785725,0.5416675,39.61923859649123,51.50295833333333,0.513512973,2.5,4.25,0.1,2022
T48,"Homa, Max",14,6.0,-0.878,-1.028,0.392,-0.131,-0.767,-1.645,293.925,0.7321425,0.5416700000000001,35.99341129032258,51.6726,0.4358953846153846,2.75,5.75,0.26,2022
T48,"Scott, Adam",14,2.0,-0.106,-0.625,-0.605,-0.308,-1.538,-1.645,297.8982456140351,0.6250025,0.5694425000000001,41.207382758620696,53.77779166666667,0.5,3.25,3.5,-0.913,2022
T50,"Berger, Daniel",15,8.0,-0.387,-0.033,-0.575,-0.9,-1.508,-1.895,284.725,0.6785725,0.5138875,42.0084463,63.53373636363636,0.5365843902439025,2.75,6.75,-1.475,2022
T50,"Hughes, Mackenzie",15,6.0,-0.369,-0.177,-1.36,0.011,-1.525,-1.895,294.2,0.6964325,0.5000025,52.74712777777778,62.0682875,0.5365865853658537,2.0,4.5,-1.349,2022
52,"Hatton, Tyrrell",17,8.0,-1.371,0.183,-0.694,-0.514,-1.024,-2.395,296.2561403508772,0.625,0.5833325,40.3882,77.70430769,0.571428,2.25,6.0,-1.207,2022
1,"Rahm, Jon",-12,-3.0,0.495,0.775,1.205,1.579,3.559,4.01,301.5,0.8571425,0.7222225,38.52907230769231,33.1543,0.7777792592592592,4.75,2.0,2.784,2023
T2,"Koepka, Brooks",-8,3.0,1.232,-0.373,1.617,0.578,1.822,3.01,301.95,0.7857149999999999,0.6666675,31.04423585,44.9164125,0.6969678787878788,3.5,2.5,2.195,2023
T2,"Mickelson, Phil",-8,-7.0,1.243,-0.171,1.173,0.809,1.811,3.01,293.95,0.8214250000000001,0.65278,36.01105172413793,52.95525,0.593750625,5.5,2.75,1.982,2023
T4,"Henley, Russell",-7,-2.0,1.24,1.423,0.057,0.085,1.564,2.76,282.075,0.892855,0.6666675,38.3827375,72.158,0.7857142857142857,3.0,2.0,0.141,2023
T4,"Spieth, Jordan",-7,-6.0,0.844,0.771,0.662,0.527,1.96,2.76,298.475,0.7321425,0.61111,33.69855892857143,65.30774545454545,0.6666666666666667,3.75,3.0,1.189,2023
T4,"Reed, Patrick",-7,-4.0,0.827,1.001,0.837,0.14,1.978,2.76,286.45000000000005,0.80357,0.625,39.76470163934427,67.10562222222222,0.6363651515151515,4.25,3.25,0.977,2023
T7,"Hovland, Viktor",-6,2.0,0.813,0.057,0.731,0.953,1.741,2.51,296.675,0.875,0.6111125000000001,37.65314838709678,40.40195,0.5999994285714285,5.0,4.0,1.684,2023
T7,"Young, Cameron",-6,-4.0,1.152,-0.239,0.044,1.598,1.403,2.51,308.725,0.8392825,0.6666675,36.26359047619047,125.56086,0.5428602857142857,6.25,3.25,1.641,2023
9,"Theegala, Sahith",-5,-5.0,0.81,0.335,0.438,0.722,1.495,2.26,300.175,0.7857125,0.65278,35.48940938,122.04334,0.5806445161290322,4.5,2.25,1.16,2023
T10,"Scheffler, Scottie",-4,-2.0,-1.157,0.382,1.711,1.12,3.212,2.01,303.05,0.7321425,0.76389,28.71261578947368,80.00502,0.6086943478260869,3.25,3.5,2.83,2023
T10,"Schauffele, Xander",-4,-1.0,0.009,0.732,1.226,0.088,2.045,2.01,294.575,0.7678575,0.7222225,36.113439655172414,62.324025,0.6428575,3.0,4.0,1.313,2023
