Feature,Coefficient,Std_Error,t_value,p_value,CI_lower,CI_upper
const,7.1988130563798185,0.11054607933260228,65.12047374127671,3.516375662111476e-188,6.981334342647537,7.4162917701121
distance,-2.6201070784003466,0.16533272653441466,-15.847480007867414,2.813260263868529e-42,-2.9453682628913214,-2.294845893909372
accuracy,-2.1029748026784967,0.15879283643710568,-13.243511797280846,2.70442110991546e-32,-2.4153699778555278,-1.7905796275014656
sg_ott,0.11250238227396439,0.17438159127841762,0.6451505657747044,0.5192861860308084,-0.23056074939726448,0.4555655139451933
sg_app,-2.358040164900417,0.19369311456989902,-12.174104227383152,2.47551965893955e-28,-2.73909510298394,-1.9769852268168935
prox_fw,0.25675802598981284,0.16309845646919813,1.5742517222307542,0.11640519396104353,-0.0641076504664368,0.5776237024460624
prox_rgh,0.15337319748542577,0.12294806609871778,1.24746327739941,0.2131285751409025,-0.08850410320627664,0.3952504981771282
sg_arg,-2.0337839780500797,0.14330444054838895,-14.19205134374982,6.908817266369298e-36,-2.3157086341821076,-1.7518593219180516
scrambling,-0.7242400609125842,0.15828968068397262,-4.575409197764059,6.778557276132925e-06,-1.0356453713503226,-0.4128347504748457
sg_putt,-3.124343720230772,0.1674792227178813,-18.655112374707688,2.891195659250224e-53,-3.4538277340778842,-2.7948597063836598
gir,-1.0685618740299831,0.17749123289438548,-6.020364254643614,4.712838240896333e-09,-1.4177426433677125,-0.7193811046922539
great_shots,0.288892908583144,0.1575606076516578,1.833535125872589,0.06764023680964393,-0.02107808716662024,0.5988639043329083
poor_shots,0.4010233098371733,0.1527762487652254,2.624906116483032,0.00907809840255896,0.10046464442907926,0.7015819752452674
