metric,PGA Championship,The Masters,The Open Championship,US Open
accuracy,-0.21131521986780036,-0.1920679333655352,0.6255226538192332,0.7271093937645681
distance,0.0218448472481459,0.027422265788757675,0.028366323666890177,0.024585954032558813
gir,0.22759406264237328,0.1715628377379436,0.4857114160189632,0.2402349600710941
great_shots,0.081703962109808,0.4446848590506972,0.5346958281438204,0.0267537711379465
poor_shots,-0.6435850205114101,-0.6482370201930213,-0.5206849973997706,-0.48230893808996583
prox_fw,-0.007182387105182946,-0.00528818572265008,-0.06196996354343667,-0.02390705196998588
prox_rgh,0.008449151687932352,0.007598768944545405,-0.012467118739411994,0.0014546466932471769
scrambling,0.42558553075965716,0.29782439683097145,0.40734934553566177,0.5126422992500087
sg_app,3.716166505143443,2.7465709141877257,3.055195358253423,2.959558096578204
sg_arg,3.2848283374880327,2.500439740511429,2.828393239257084,3.1914047401253884
sg_ott,3.0547345600076445,2.099155902399182,2.4410270827556624,2.4567040843987455
sg_putt,3.5277808356164817,2.8149354704169594,2.9309014517952217,3.049043056537453
