position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,distance,accuracy,gir,prox_fw,prox_rgh,scrambling,great_shots,poor_shots,sg_bs
1,"Thomas, Justin",-5,-3,1.581,0.814,0.526,0.657,1.998,3.578,305.8,0.607145,0.694445,41.54393018867924,54.72285882352941,0.6956530434782608,3.5,2,1.183
2,"Zalatoris, Will",-5,1,1.164,0.632,1.283,0.499,2.414,3.578,309.55,0.5178575,0.680555,37.00553829787234,35.037865,0.6923076923076923,3.25,2.25,1.782
T3,"Young, Cameron",-4,1,0.53,0.394,0.65,1.754,2.799,3.328,317.7,0.7142850000000001,0.6111125,35.70809444444444,33.35031818181818,0.742858,4.75,2.75,2.404
T3,"Pereira, Mito",-4,5,1.373,0.213,1.524,0.218,1.955,3.328,299.35,0.73214,0.6666650000000001,32.295595081967214,58.51926,0.6153834615384615,4.75,3.75,1.742
T5,"Kirk, Chris",-3,-2,0.392,1.252,1.011,0.424,2.687,3.078,296.225,0.732145,0.5694475,33.13789642857143,56.838275,0.7187475,3.25,2,1.435
T5,"Fleetwood, Tommy",-3,-3,0.913,0.655,1.18,0.329,2.165,3.078,301.15,0.6250025,0.6805574999999999,33.22351132075472,75.16961176470588,0.5925937037037037,3.75,2.5,1.51
T5,"Fitzpatrick, Matt",-3,3,1.248,1.168,0.181,0.481,1.83,3.078,308.525,0.6250025,0.5972225,33.56473396226415,47.051993749999994,0.7419370967741935,4.75,3,0.662
8,"McIlroy, Rory",-2,-2,0.24,-0.024,1.213,1.398,2.588,2.828,320.975,0.6250025,0.6805575,31.00961632653061,53.29259999999999,0.5757581818181818,5.25,2,2.612
T9,"Ancer, Abraham",-1,3,0.969,-0.22,1.149,0.68,1.61,2.578,301.075,0.75,0.63889,31.299237288135593,60.17637777777777,0.5862065517241379,2.75,1.25,1.83
T9,"Hoge, Tom",-1,-1,1.157,0.302,1.959,-0.839,1.421,2.578,290.2052631578947,0.57143,0.5972200000000001,30.99188823529412,42.44185555555555,0.6666660606060606,5,3.5,1.119
T9,"Power, Seamus",-1,2,0.381,0.918,0.874,0.406,2.198,2.578,306.275,0.5892875,0.597225,37.46544339622642,58.356918750000006,0.6470608823529411,3.75,2.5,1.28
T9,"Steele, Brendan",-1,-2,-0.058,0.291,1.851,0.494,2.636,2.578,303.95,0.607145,0.7083325,29.919030909090907,54.08885333333333,0.6000016,3.5,3.75,2.345
T13,"Smith, Cameron",0,-1,-0.942,0.156,2.416,0.699,3.271,2.328,303.35,0.6607149999999999,0.625,29.933948148148147,34.91538571428571,0.5151506060606061,2,4.75,3.114
T13,"Homa, Max",0,1,0.48,-0.069,1.732,0.185,1.848,2.328,302.125,0.6071425,0.597225,31.917817647058822,58.467666666666666,0.6451616129032258,3.5,2.25,1.917
T13,"Schauffele, Xander",0,0,0.358,0.154,0.991,0.825,1.97,2.328,300.225,0.7142825,0.6666675,33.886964285714285,45.29383636363636,0.6785717857142857,2.25,1,1.816
T13,"Rose, Justin",0,-2,1.057,0.196,1.292,-0.217,1.271,2.328,294.075,0.6250025,0.65278,33.427203846153844,55.13404736842105,0.6206917241379311,4.25,3.5,1.075
T13,"Hatton, Tyrrell",0,-2,0.879,0.41,0.899,0.14,1.449,2.328,302.975,0.6250025,0.6250025,30.09938679245283,53.80707692307693,0.6176455882352941,3.25,3,1.039
T13,"Herbert, Lucas",0,1,2.191,0.223,-0.23,0.144,0.138,2.328,309.45,0.5357149999999999,0.569445,35.46163541666667,59.1577,0.6388891666666667,4.75,2.75,-0.086
T13,"Riley, Davis",0,1,-0.074,-0.465,1.607,1.26,2.403,2.328,306.55,0.7678575,0.6249975000000001,36.71825246,32.0100875,0.5333316666666666,4.25,3.5,2.868
T20,"Burns, Sam",1,2,1.28,-0.534,1.035,0.298,0.799,2.078,308.65,0.535715,0.61111,30.92993125,75.82590476190475,0.6666676666666667,2.25,1.75,1.333
T20,"Simpson, Webb",1,2,0.514,0.375,0.647,0.543,1.565,2.078,296.65,0.69643,0.583335,37.96994,59.37397142857142,0.5789468421052631,3,1.75,1.19
T20,"Gooch, Talor",1,-2,0.071,0.734,0.787,0.486,2.007,2.078,295.3,0.73214,0.61111,32.804296666666666,54.61608571428571,0.657144,2.75,2.75,1.272
