Feature,Importance
sg_app,0.21044086
sg_ott,0.15288495
sg_putt,0.15092218
sg_arg,0.11169412
scrambling,0.0995486
poor_shots,0.052875455
gir,0.04904404
accuracy,0.043511
distance,0.040076982
great_shots,0.036971428
prox_fw,0.029633505
prox_rgh,0.02239685
