,Random Forest,XGBoost
accuracy,0.8479087452471483,0.908745247148289
precision,0.9272727272727272,0.8888888888888888
recall,0.5862068965517241,0.8275862068965517
f1_score,0.7183098591549296,0.8571428571428571
roc_auc,0.9580721003134797,0.9677377220480669
