position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,distance,accuracy,gir,prox_fw,prox_rgh,scrambling,great_shots,poor_shots,sg_bs
1,"Clark, Wyndham",-10,0,1.793,1.198,-0.136,1.407,2.468,4.261,317.2,0.7115374999999999,0.6944475,39.453041818181816,48.4166625,0.735295294117647,6,3.5,1.27
2,"McIlroy, Rory",-9,0,0.4,0.27,1.21,2.131,3.61,4.011,315.875,0.7499975,0.8194425,31.083324590163937,50.61111666666667,0.454545,6,2.75,3.341
3,"Scheffler, Scottie",-7,0,0.288,0.561,1.623,1.038,3.222,3.511,306.2,0.6923075,0.6805575,31.32471551724138,64.47225,0.6296292592592592,4.25,4,2.661
4,"Smith, Cameron",-6,-3,1.955,-0.041,1.121,0.226,1.305,3.261,296.35,0.6730775,0.6666675,31.92946923076923,92.03125,0.5714314285714286,3.5,3,1.347
T5,"Fleetwood, Tommy",-5,-7,-0.291,0.59,1.797,0.915,3.301,3.011,301.25,0.76923,0.6527775,31.2232,84.55553333333333,0.5882326470588235,4.5,5,2.712
T5,"Fowler, Rickie",-5,5,0.91,1.043,0.677,0.379,2.1,3.011,298.675,0.75,0.694445,33.951825,125.06664,0.6000016,5.25,4.25,1.056
T5,"Lee, Min Woo",-5,-3,0.982,0.573,0.701,0.754,2.029,3.011,315.1,0.6730775,0.73611,38.330424561403504,46.101866666666666,0.6666662962962963,5.75,3.25,1.456
T8,"English, Harris",-4,2,2.581,0.173,-0.124,0.13,0.179,2.761,298.79999999999995,0.6346125,0.6388875,37.82572,93.90741111111112,0.6470552941176471,4.75,3.75,0.006
T8,"Kim, Tom",-4,-1,0.859,0.254,1.93,-0.284,1.901,2.761,291.175,0.6923075000000001,0.7222225,30.873036507936508,89.1528,0.55,4,4.25,1.647
T10,"Johnson, Dustin",-3,2,-0.34,0.82,1.129,0.902,2.85,2.511,305.9,0.6730750000000001,0.6805575,33.872730909090905,73.819425,0.5666640000000001,4.25,3.25,2.031
T10,"Rahm, Jon",-3,-5,0.643,0.349,1.174,0.344,1.868,2.511,308.925,0.5384625000000001,0.6944425,30.928790909090907,78.39214117647059,0.5416654166666667,5.75,3.25,1.518
T10,"Schauffele, Xander",-3,2,1.025,-0.173,1.395,0.264,1.485,2.511,301.25,0.6346149999999999,0.7083349999999999,30.831821818181815,79.1666857142857,0.4838716129032258,5.5,5,1.658
T10,"Eckroat, Austin",-3,-5,-0.604,1.038,1.455,0.622,3.114,2.511,300.075,0.7499975,0.7083349999999999,34.415239655172414,77.61908571428572,0.6428567857142857,4.25,4.5,2.077
T14,"Henley, Russell",-2,-2,0.246,0.027,1.488,0.499,2.014,2.261,289.2,0.865385,0.7083325,30.706382539682537,73.11901428571429,0.5416666666666667,4.25,4.25,1.987
T14,"Cantlay, Patrick",-2,-1,1.977,-0.21,-0.477,0.97,0.283,2.261,301.2,0.8076924999999999,0.5833349999999999,40.74730322580645,72.020825,0.5384587179487179,3.75,5,0.493
T14,"Morikawa, Collin",-2,-1,0.456,-0.153,1.497,0.46,1.804,2.261,292.025,0.76923,0.7222225,30.32928548387097,114.37120909090909,0.5652173913043478,2,2,1.957
T17,"Koepka, Brooks",-1,-1,0.194,0.879,0.607,0.33,1.816,2.011,300.15,0.692305,0.6250025,36.757439285714284,45.708325,0.6111080555555556,3.75,5.25,0.937
T17,"Fitzpatrick, Matt",-1,0,0.979,1.225,1.148,-1.342,1.031,2.011,297.8,0.44231,0.625,32.88363773584906,60.21967272727272,0.6785742857142857,4.75,4.75,-0.194
19,"Hovland, Viktor",0,2,0.101,0.68,-0.02,1,1.66,1.761,305.225,0.6730775,0.63889,33.75000714285714,42.40834,0.6060618181818183,4.75,3.5,0.98
T20,"DeChambeau, Bryson",1,4,-0.331,0.318,0.466,1.059,1.842,1.511,316.925,0.5192300000000001,0.6944425,38.05233488372093,55.513888888888886,0.4516132258064516,3.5,2.75,1.525
T20,"McCarthy, Denny",1,0,0.815,0.529,0.19,-0.023,0.695,1.511,284.875,0.7307699999999999,0.6666675,39.793032258064514,84.46213636363636,0.4782608695652174,3.25,3,0.167
T20,"Lowry, Shane",1,1,0.79,0.713,-0.344,0.352,0.721,1.511,297.875,0.7307675,0.569445,36.37213103448276,91.6153923076923,0.6388916666666666,3.75,5.25,0.008
T20,"Mitchell, Keith",1,1,1.541,-0.731,-0.675,1.375,-0.03,1.511,305.775,0.7884599999999999,0.722225,35.738710169491526,70.65153636363637,0.35714107142857143,5.75,5.5,0.7
T20,"Hardy, Nick",1,-3,0.71,0.144,0.163,0.493,0.8,1.511,306.425,0.6538475,0.694445,32.221735714285714,52.15911818181818,0.48386870967741935,5.5,6,0.656
T20,"Smith, Jordan",1,-4,-0.178,-0.451,1.963,0.176,1.689,1.511,298.175,0.6923075,0.65278,29.492553571428573,98.57576363636363,0.42307884615384617,4,4,2.139
T20,"Nagano, Ryutaro",1,5,1.69,-0.059,-0.108,-0.011,-0.179,1.511,300,0.55769,0.59722,36.58185,141.42708125000001,0.5588238235294117,4.75,5.5,-0.12
T27,"Harrington, Padraig",2,3,0.517,1.387,-0.066,-0.578,0.743,1.261,294.375,0.57692,0.6527775,38.265749056603774,56.49356923076924,0.5357117857142857,4.5,4,-0.643
T27,"Theegala, Sahith",2,-1,0.128,0.238,1.271,-0.376,1.133,1.261,303.375,0.53846,0.5972225,30.1023298245614,54.27497,0.5789468421052631,4.25,6,0.895
T27,"Garcia, Sergio",2,0,0.375,0.829,-0.457,0.514,0.886,1.261,294.45,0.75,0.5833325,40.681711475409834,95.24303333333333,0.6388905555555555,5,5,0.057
T27,"Hatton, Tyrrell",2,2,1.129,-0.513,0.369,0.275,0.132,1.261,304.075,0.6153825,0.5972225,37.33648679245283,76.51666666666665,0.5312478125,4,2.75,0.645
T27,"Suh, Justin",2,2,1.136,0.679,0.21,-0.764,0.124,1.261,286.3,0.75,0.6111125000000001,34.311099999999996,70.36902857142857,0.6774167741935484,5.25,5.5,-0.555
T32,"Rodgers, Patrick",3,2,1.64,0.239,-0.356,-0.512,-0.63,1.011,303.1,0.615385,0.597225,41.280294545454545,68.17359166666667,0.499999375,4.75,5.25,-0.868
T32,"Burns, Sam",3,3,0.684,0.09,0.156,0.081,0.327,1.011,306.775,0.653845,0.569445,38.872231666666664,87.03706666666668,0.48484757575757575,4.5,4.5,0.236
T32,"Matsuyama, Hideki",3,5,-1.491,0.517,2.252,-0.267,2.502,1.011,294.325,0.673075,0.66667,28.047022580645162,90.82500999999999,0.40740777777777776,5,5.25,1.985
T32,"Finau, Tony",3,4,-0.616,0.564,1.376,-0.313,1.626,1.011,299.925,0.6153825,0.583335,32.96873214285714,103.69167,0.7096777419354838,5.25,5,1.062
T32,"Young, Cameron",3,3,0.182,-0.059,0.562,0.325,0.828,1.011,312.375,0.6153850000000001,0.680555,30.188298148148146,101.09613846153846,0.653846923076923,4.25,4.75,0.887
T32,"Niemann, Joaquin",3,3,0.399,0.01,-0.35,0.952,0.612,1.011,306.275,0.6153850000000001,0.6666675,38.44971724137931,92.27565384615386,0.645163870967742,3,3.75,0.602
T32,"Wu, Dylan",3,2,0.188,0.388,0.577,-0.142,0.823,1.011,288.525,0.653845,0.6666675,37.324412499999994,74.79760714285715,0.48147999999999996,3.75,3.75,0.435
T39,"Cole, Eric",4,4,1.306,-0.624,0.672,-0.595,-0.545,0.761,292.375,0.5769225,0.597225,23.772438461538464,99.2500125,0.5454542424242425,4.75,4,0.078
T39,"Kim, Si Woo",4,4,0.366,-0.015,0.057,0.353,0.394,0.761,293.05,0.8269225,0.5972225,36.84585333333333,57.625,0.5813953488372092,3.25,5.75,0.41
T39,"Sargent, Gordon",4,-1,0.155,0.17,0.229,0.207,0.605,0.761,310.325,0.5769200000000001,0.5972200000000001,36.088972881355936,71.58330714285714,0.44827655172413794,5.5,6.25,0.435
T39,"Puig, David",4,-3,1.422,-0.257,-0.441,0.036,-0.662,0.761,309.8018867924528,0.5769225,0.569445,33.94048035714286,65.97224444444444,0.5945935135135136,4.5,4.5,-0.405
T43,"Horschel, Billy",5,4,0.142,-0.352,0.491,0.23,0.369,0.511,295.925,0.673075,0.569445,38.06944074074074,63.733320000000006,0.4871776923076923,1.5,3.5,0.721
T43,"Harman, Brian",5,5,0.369,0.008,0.426,-0.293,0.142,0.511,285.425,0.7500025,0.6666675,37.0146298245614,52.81483333333333,0.41379275862068965,5.5,4.5,0.133
T43,"Putnam, Andrew",5,3,0.635,0.215,-0.095,-0.245,-0.124,0.511,275.725,0.826925,0.625,37.373667741935485,122.41666666666667,0.5172413793103449,5.25,3.5,-0.34
T43,"Stevens, Sam",5,3,-0.712,0.954,0.003,0.266,1.222,0.511,303.95,0.6346149999999999,0.597225,38.22222166666667,129.70137499999998,0.5,4,4.75,0.269
T43,"Fox, Ryan",5,4,-0.856,0.604,1.096,-0.334,1.367,0.511,303.175,0.4807675,0.6666675,32.83332264150944,69.83334285714285,0.5000026666666667,5.25,5.5,0.762
T43,"Bennett, Sam",5,1,1.095,-0.904,-0.184,0.504,-0.585,0.511,290.4,0.8076924999999999,0.5416675,37.756946666666664,83.78704444444445,0.5384605128205129,3.25,4,0.32
T49,"Woodland, Gary",6,5,-1.275,-0.163,1.712,-0.013,1.536,0.261,306.375,0.557695,0.65278,31.378776363636362,86.58332727272727,0.3999993333333333,4.75,5.5,1.699
T49,"Munoz, Sebastian",6,2,-1.452,-0.203,2.082,-0.167,1.712,0.261,289.125,0.76923,0.680555,31.086068852459015,91.15275,0.5333343333333334,3.5,5,1.915
T49,"Hughes, Mackenzie",6,1,1.083,-0.129,-0.262,-0.432,-0.823,0.261,289.3,0.6346125,0.569445,35.704141666666665,109.68182727272726,0.6250003125,3,4,-0.694
T49,"Streelman, Kevin",6,4,-0.907,0.295,1.279,-0.405,1.168,0.261,287.55,0.7692325,0.6666675,35.25410491803279,86.36904285714286,0.34782565217391304,2.5,6.75,0.873
T49,"Hoffman, Charley",6,3,0.325,-0.47,0.452,-0.046,-0.064,0.261,297.35,0.6923075,0.6111125,32.7643046875,99.73334000000001,0.5161277419354839,4,6.25,0.406
T54,"Ancer, Abraham",7,1,-0.605,-0.259,0.394,0.481,0.616,0.011,289.15,0.865385,0.6666675,39.75718965517242,52.9028,0.41935451612903224,3.5,4,0.875
T54,"Langasque, Romain",7,1,0.332,-0.299,-0.711,0.689,-0.321,0.011,297.7,0.7692275,0.6250025,40.3620393442623,139.4333,0.555555,2.75,5.5,-0.022
T56,"Reed, Patrick",8,-1,0.465,-0.056,-0.824,0.176,-0.705,-0.239,292.95,0.6730775,0.5833349999999999,42.115004,57.536443750000004,0.5121946341463415,3.25,3.75,-0.649
T56,"Gerard, Ryan",8,3,0.595,0.613,-1.17,-0.277,-0.834,-0.239,292.7,0.596155,0.48611250000000006,43.3264,75.02223333333333,0.49999934782608696,5,6.25,-1.448
58,"Katsuragawa, Yuto",9,4,-0.112,-0.774,1.04,-0.644,-0.377,-0.489,285,0.7499975,0.569445,35.045307017543855,60.18055,0.4615389743589744,4,6.25,0.397
59,"Hadwin, Adam",11,5,-0.212,-0.606,0.437,-0.608,-0.777,-0.989,283.775,0.692305,0.569445,37.98684210526316,84.09169,0.49999852941176476,3.25,5,-0.171
T60,"Svensson, Adam",12,4,0.384,-0.576,-0.929,-0.118,-1.623,-1.239,283.55,0.75,0.5833325,43.74136551724138,73.37964444444444,0.42105342105263155,3.5,6,-1.047
T60,"Solomon, Jacob",12,4,-0.556,0.036,0.254,-0.973,-0.684,-1.239,291.775,0.5576925,0.5555575,35.108022222222225,88.40908181818182,0.4210536842105263,3.5,7,-0.72
62,"Carr, Ben",13,6,-0.615,-0.574,-0.421,0.12,-0.875,-1.489,288.15,0.8269225,0.63889,40.3698,70.5,0.4545442424242424,3.25,6.5,-0.301
63,"Ishikawa, Ryo",14,4,-0.21,-0.277,-0.409,-0.843,-1.529,-1.739,290.9,0.6346149999999999,0.6111125,37.28834603174603,108.7261857142857,0.5937490625,4.75,6.25,-1.252
64,"Potgieter, Aldrich",15,9,-0.549,-1.583,0.324,-0.182,-1.441,-1.989,320.15,0.48077000000000003,0.5972225,34.40971041666667,84.270825,0.40540756756756763,5.5,7.75,0.142
65,"Moldovan, Maxwell",17,9,-0.291,-0.602,-0.424,-1.174,-2.199,-2.489,293.175,0.5769200000000001,0.5138900000000001,41.744149122807016,91.1474076923077,0.45946027027027025,3.25,6.5,-1.597
CUT,"Mickelson, Phil",3,null,0.459,-0.162,0.335,-0.334,-0.161,0.298,298.35,0.7692300000000001,0.66667,39.98285,31.20835,0.38461538461538464,3,7,0.001
CUT,"Noren, Alex",3,null,-1.357,0.483,0.784,0.388,1.655,0.298,296.95,0.653845,0.6666650000000001,38.632748148148146,50.43055,0.5000038888888889,4.5,5.5,1.172
CUT,"Svoboda, Andrew",3,null,1.427,0.064,-0.911,-0.281,-1.129,0.298,286.35,0.80769,0.527775,42.622057142857145,40.208349999999996,0.55556,2,2.5,-1.193
