position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,distance,accuracy,gir,prox_fw,prox_rgh,scrambling,great_shots,poor_shots,sg_bs
1,"Spaun, J.J.",-1,2,2.629,0.549,0.489,0.412,1.45,4.075,287.5,0.625,0.7083349999999999,40.41521896551724,63.58332222222222,0.6666671428571428,5,3.5,0.901
2,"MacIntyre, Robert",1,-2,1.661,0.613,0.695,0.609,1.918,3.575,290.6,0.67857,0.6527775,32.1447350877193,68.46427142857142,0.6249991666666667,4,3.75,1.304
3,"Hovland, Viktor",2,3,-0.374,1.783,2.072,-0.152,3.703,3.325,295.075,0.5535725,0.75,29.54679298245614,43.158339999999995,0.4705870588235294,5.25,4.75,1.92
T4,"Young, Cameron",3,0,1.991,0.845,-0.356,0.601,1.088,3.075,305.95,0.5000025,0.59722,34.79087058823529,73.41068571428572,0.6875003125,4.75,4,0.244
T4,"Hatton, Tyrrell",3,2,0.41,0.515,1.952,0.203,2.669,3.075,297.525,0.625,0.7361125,28.833319298245613,74.3194,0.545455909090909,5.5,4.25,2.154
T4,"Ortiz, Carlos",3,3,-0.053,0.627,1.796,0.709,3.132,3.075,293.35,0.6250025,0.7916650000000001,31.22620357142857,80.59522857142856,0.40909181818181817,4,5,2.505
T7,"Rahm, Jon",4,-3,0.023,0.054,1.913,0.839,2.806,2.825,306.2,0.5357149999999999,0.75,34.34849272727273,45.6875125,0.37499958333333333,5.25,4.75,2.752
T7,"Burns, Sam",4,8,0.758,0.892,1.715,-0.536,2.071,2.825,295.75,0.5535725,0.6250025,30.221698113207545,69.4271125,0.444445,5.25,5.25,1.179
T7,"Scheffler, Scottie",4,0,0.595,0.909,1.447,-0.122,2.234,2.825,298.65,0.5178575,0.6388875,29.52192456140351,81.77776666666665,0.703702962962963,4.75,5.75,1.325
T10,"Henley, Russell",5,1,0.856,1.028,1.311,-0.616,1.723,2.575,286.75,0.5535725,0.6666650000000001,30.705470689655172,52.312524999999994,0.6249995833333334,5.75,4.25,0.695
T10,"Griffin, Ben",5,1,1.115,0.33,0.677,0.457,1.464,2.575,291.775,0.607145,0.6666675,31.21426964285714,100.45368888888888,0.5666676666666667,4.25,4,1.134
T12,"Kirk, Chris",6,1,0.06,1.805,0.051,0.412,2.269,2.325,294.325,0.5892850000000001,0.597225,34.62120727272727,79.91665,0.59375,6.25,6,0.463
T12,"Koepka, Brooks",6,1,-0.008,0.881,0.502,0.955,2.337,2.325,294.525,0.5892850000000001,0.6388875,32.89545090909091,101.92500000000001,0.5357142857142857,3.5,4.25,1.457
T12,"Scott, Adam",6,9,0.374,-0.478,1.244,1.189,1.955,2.325,299.125,0.6250025,0.6527775,31.206796296296293,52.991659999999996,0.4516132258064516,5.25,4.25,2.433
T12,"Schauffele, Xander",6,-1,0.521,0.409,0.708,0.691,1.808,2.325,300.6,0.5892875,0.6805575,32.174528301886795,103.18334,0.5384623076923076,5.25,4,1.399
T12,"Bezuidenhout, Christiaan",6,2,1.203,0.912,0.866,-0.652,1.126,2.325,279.725,0.6071425,0.6805575,36.616367241379315,71.08335555555556,0.4782604347826087,2.75,3.5,0.214
T12,"Lawrence, Thriston",6,5,1.606,0.142,0.324,0.257,0.723,2.325,291.15,0.6071425,0.625,35.331816363636364,77.35714285714285,0.5142868571428572,6,4,0.58
T12,"Neergaard-Petersen, Rasmus",6,4,-0.36,0.796,1.109,0.783,2.69,2.325,297.07500000000005,0.6250025,0.6250025,34.68,75.12177692307692,0.4666653333333333,5.5,4.75,1.893
T19,"McIlroy, Rory",7,-3,0.576,0.243,-0.515,1.776,1.503,2.075,314.7,0.6071425,0.6666675,32.093131372549024,60.17309230769231,0.3793079310344828,6,4,1.261
T19,"Grillo, Emiliano",7,3,0.783,0.264,0.283,0.751,1.296,2.075,287.375,0.69643,0.6527775,36.438815625000004,88.36666,0.5384611538461539,3.5,4.25,1.033
T19,"Perez, Victor",7,3,-0.023,0.408,1.629,0.065,2.101,2.075,289.475,0.5357149999999999,0.75,36.678558928571434,36.3426,0.533334,3,4.75,1.694
T19,"Fox, Ryan",7,-1,1.314,-0.107,1.375,-0.503,0.765,2.075,298.45,0.5,0.5277775,33.903334,68.08927857142858,0.6153823076923077,5.75,4.25,0.872
T23,"Day, Jason",8,3,0.088,0.868,0.24,0.633,1.741,1.825,292.8,0.57143,0.6666675,38.3391649122807,89.00002727272727,0.407407037037037,3.5,3.25,0.873
T23,"Morikawa, Collin",8,0,-2.201,0.677,2.884,0.471,4.03,1.825,293.125,0.6785725,0.75,28.9061126984127,78.1667,0.5,3.5,5.25,3.354
T23,"Greyserman, Max",8,4,-0.912,1.665,-0.025,1.101,2.741,1.825,301,0.5892850000000001,0.7083349999999999,35.46762222222222,68.14391818181818,0.43999920000000003,4.5,4,1.077
T23,"Detry, Thomas",8,3,-0.968,0.608,1.477,0.712,2.797,1.825,295,0.6785749999999999,0.7222225,34.3902,73.52085000000001,0.42857,5,5.75,2.189
T23,"Taylor, Nick",8,4,1.117,0.048,0.403,0.26,0.712,1.825,284.15,0.55357,0.6388900000000001,35.94882807017544,64.90833,0.5185188888888889,4,3,0.663
T23,"Spieth, Jordan",8,2,-0.346,0.538,2.155,-0.518,2.175,1.825,298.225,0.464285,0.625,25.637325925925925,74.9936,0.5925903703703703,4.5,4.75,1.636
T23,"Reed, Patrick",8,0,0.202,-0.27,1.165,0.732,1.627,1.825,291.025,0.67857,0.5833325,31.327274545454543,73.31669000000001,0.5263155263157895,4.5,4.75,1.897
T23,"Wallace, Matt",8,3,0.879,0.345,0.658,-0.054,0.95,1.825,294.3,0.57143,0.625,35.694994,55.923092307692315,0.45454666666666665,5.5,5,0.604
T23,"Stevens, Sam",8,3,0.705,0.393,-0.622,1.353,1.124,1.825,299.7,0.6785725,0.63889,36.275945901639346,41.76192857142857,0.466667,4.25,4.5,0.731
T23,"Gotterup, Chris",8,4,-0.544,0.62,0.634,1.119,2.373,1.825,310.1,0.48214250000000003,0.7222225,32.852840425531916,61.06669000000001,0.3750009375,5.25,4.5,1.754
T33,"Poston, J.T.",9,3,1.107,0.97,-1.084,0.586,0.471,1.575,288.925,0.642855,0.5972225,45.505850877192984,101.1875125,0.49999764705882355,3.75,4,-0.498
T33,"Rai, Aaron",9,3,-0.136,0.211,0.368,1.136,1.715,1.575,287.25,0.75,0.6805575,33.14656896551725,95.7024,0.48386903225806455,5.25,3.25,1.504
T33,"Kim, Tom",9,2,-0.102,1.422,-0.606,0.864,1.68,1.575,290.125,0.6785725,0.555555,36.44211694915254,86.69045714285714,0.6666653846153846,5,6.75,0.258
T33,"Bradley, Keegan",9,4,0.168,1.559,-0.807,0.659,1.411,1.575,299.75,0.57143,0.5833325,36.03955593220339,75.16668333333334,0.5428577142857143,4.5,5.5,-0.148
37,"McNealy, Maverick",10,3,0.587,-0.342,-0.115,1.2,0.742,1.325,295.85,0.5892875,0.61111,39.48584528301887,55.3229125,0.47368421052631576,3.75,3.75,1.085
T38,"Finau, Tony",11,1,0.274,0.808,0.794,-0.798,0.805,1.075,293.2,0.48214250000000003,0.5833325,35.20240612244898,78.53121875,0.6486475675675676,5.75,6,-0.004
T38,"Fitzpatrick, Matt",11,2,2.742,-0.926,-0.861,0.123,-1.664,1.075,286.125,0.6250025,0.583335,36.555587037037036,85.58333636363636,0.5714297142857143,4.75,5.25,-0.738
T38,"Pendrith, Taylor",11,-1,0.919,-0.117,0.098,0.179,0.159,1.075,300.025,0.5,0.61111,35.949396428571426,102.03207692307693,0.433335,5.25,5.5,0.277
T38,"Leishman, Marc",11,7,1.196,0.303,0.278,-0.7,-0.118,1.075,288.5,0.410715,0.5,32.28702777777778,89.07051538461539,0.5952407142857142,3.25,5,-0.421
T42,"Matsuyama, Hideki",12,-2,-0.788,0.449,1.77,-0.602,1.617,0.825,283.05,0.5357149999999999,0.6666675,23.886892857142854,107.16072142857142,0.5833358333333334,5.25,5,1.168
T42,"Kim, Si Woo",12,6,-1.063,0.325,1.326,0.241,1.892,0.825,291.2,0.6785749999999999,0.625,31.708318518518517,86.510425,0.45454363636363637,3.75,6.5,1.567
T42,"Novak, Andrew",12,2,1.317,-0.142,0.66,-1.005,-0.487,0.825,287.275,0.46428749999999996,0.555555,33.020106896551724,91.53704444444443,0.5428571428571428,4,5.75,-0.345
T42,"Cone, Trevor",12,6,-0.061,-0.418,0.226,1.082,0.891,0.825,310.75,0.5357149999999999,0.583335,34.57074716981133,79.9583375,0.47222194444444443,6.75,5.25,1.308
T46,"Berger, Daniel",13,3,0.721,-1.295,0.788,0.365,-0.142,0.575,284.675,0.64286,0.625,32.29802542372881,104.03569999999999,0.45714371428571426,5,5.25,1.153
T46,"Vegas, Jhonattan",13,7,-0.233,-0.814,0.581,1.045,0.812,0.575,302.125,0.5357149999999999,0.63889,30.19712115384615,123.89103846153847,0.3333339393939394,4,5,1.626
T46,"Hojgaard, Rasmus",13,5,-0.143,0.582,-0.136,0.276,0.722,0.575,303,0.5,0.63889,35.84775192307693,90.34092727272727,0.44827655172413794,4.5,4.75,0.14
