position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,distance,accuracy,gir,prox_fw,prox_rgh,scrambling,great_shots,poor_shots,sg_bs
1,"Rahm, Jon",-6,-4,0.905,0.568,1.248,1.058,2.872,3.771,316.775,0.5178575,0.6805575,30.265029166666668,34.37980476190476,0.7037055555555556,5.25,2.75,2.305
2,"Oosthuizen, Louis",-5,0,1.86,0.615,0.723,0.33,1.667,3.521,303.625,0.57143,0.6250025,32.94991875,46.543425,0.6785696428571428,3.75,3,1.052
3,"English, Harris",-3,-3,1.013,0.957,0.99,0.067,2.015,3.021,297.84999999999997,0.5,0.6111125,31.142060975609752,43.566208333333336,0.657144,4,1.75,1.058
T4,"Koepka, Brooks",-2,-2,0.72,0.035,1.155,0.865,2.058,2.771,312.2,0.5178575,0.63889,27.49677906976744,58.74944583333334,0.6000006666666666,3.5,2.5,2.02
T4,"Morikawa, Collin",-2,-1,-0.105,0.19,1.46,1.233,2.882,2.771,303.075,0.7142850000000001,0.722225,29.807945454545454,43.93033333333334,0.6153853846153846,3.25,3.75,2.692
T4,"Migliozzi, Guido",-2,-3,-0.047,1.235,1.173,0.418,2.825,2.771,302.375,0.464285,0.6527775,33.902817391304346,52.11677619047619,0.6333333333333333,5.25,2.75,1.59
T7,"McIlroy, Rory",-1,2,-0.585,1.073,1.107,0.927,3.112,2.521,318.625,0.5178575,0.66667,26.774541463414632,49.6658652173913,0.5333336666666666,5.25,3,2.035
T7,"Casey, Paul",-1,-1,0.035,0.812,1.137,0.545,2.492,2.521,307.5,0.5357149999999999,0.6388925,27.243059183673466,55.77545263157894,0.5666686666666667,4.75,2.75,1.683
T7,"Berger, Daniel",-1,-3,0.517,0.225,1.46,0.325,2.01,2.521,295.1,0.607145,0.6944475,31.45563191489362,56.97744736842105,0.6923073076923077,3.25,3.25,1.785
T7,"Schauffele, Xander",-1,0,-0.378,0.395,0.98,1.528,2.905,2.521,315.70000000000005,0.6250025,0.65278,27.86669375,59.83612222222222,0.56250125,5.25,2.5,2.507
T7,"Scheffler, Scottie",-1,1,2.117,-0.25,0.627,0.033,0.41,2.521,304.70000000000005,0.5357149999999999,0.569445,31.85735,49.943063157894734,0.6500007499999999,3.75,4.25,0.66
T7,"Grace, Branden",-1,-4,-0.655,1.21,1.598,0.375,3.183,2.521,303.2,0.48214250000000003,0.625,30.709413953488372,48.8311652173913,0.6129035483870968,3.5,4,1.973
T13,"Henley, Russell",0,5,0.648,0.342,1.605,-0.315,1.63,2.271,296.125,0.5178575,0.6666650000000001,27.269272916666665,59.94835238095238,0.70833375,3.75,3.25,1.29
T13,"Molinari, Francesco",0,0,0.945,0.887,0.59,-0.14,1.333,2.271,300.02500000000003,0.464285,0.5416675,31.286302272727276,53.130315384615386,0.6000022857142857,4.5,3.5,0.45
T15,"Cantlay, Patrick",1,-2,0.908,0.84,-0.187,0.47,1.12,2.021,309.375,0.4464275,0.5972225,31.929204166666665,63.111292000000006,0.7333333333333334,3,3,0.283
T15,"Hughes, Mackenzie",1,6,0.915,0.495,0.938,-0.323,1.112,2.021,300.8,0.42857,0.6527775,35.4945375,47.799572727272725,0.5666676666666667,3.75,3.75,0.615
T15,"Streelman, Kevin",1,2,0.703,0.853,0.762,-0.292,1.325,2.021,294.95,0.48214250000000003,0.6250025,35.99613725490196,54.1206,0.6071417857142857,3.5,3.25,0.47
T15,"Wolff, Matthew",1,3,1.235,-0.857,0.532,1.12,0.792,2.021,322.675,0.375,0.6666675,32.225031578947366,46.01171428571429,0.4999975,5,4.25,1.653
T19,"Johnson, Dustin",2,3,0.932,-0.18,0.615,0.405,0.845,1.771,309.2,0.3749975,0.6111125,27.88118095238095,54.38881428571428,0.6451622580645161,4.25,2.75,1.02
T19,"Thomas, Justin",2,2,1.26,0.698,0.025,-0.205,0.517,1.771,310.05,0.41071250000000004,0.6111125,38.421614285714284,56.517779310344835,0.7096767741935484,5,3.75,-0.18
T19,"Schwartzel, Charl",2,-1,0.333,1.328,0.082,0.04,1.445,1.771,304.325,0.46428749999999996,0.6111125000000001,38.286643902439025,60.20029090909091,0.5555577777777778,3.25,2.75,0.122
T19,"Harman, Brian",2,1,0.163,0.952,0.715,-0.052,1.615,1.771,295.575,0.5892875,0.48611000000000004,34.77815744680851,69.68594761904761,0.6578942105263158,4.25,4.5,0.663
T19,"Spieth, Jordan",2,1,0.305,0.072,1.302,0.092,1.473,1.771,303.725,0.48214250000000003,0.63889,30.597120930232556,46.457656,0.5555570370370371,4.25,3.5,1.395
T19,"Garcia, Sergio",2,-3,0.575,-0.398,1.308,0.292,1.202,1.771,310.675,0.5178575,0.680555,31.88136888888889,41.98545909090909,0.46666433333333335,4.25,4.25,1.6
T19,"Reed, Patrick",2,-4,0.585,0.903,0.273,0.012,1.192,1.771,299.175,0.6071425,0.569445,30.220281632653062,43.333726666666664,0.6666661538461538,4,5,0.285
T26,"DeChambeau, Bryson",3,6,1.328,-2,1.305,0.895,0.2,1.521,329.375,0.4285725,0.680555,29.56635789473684,39.19353703703703,0.4411752941176471,6.5,3.75,2.2
T26,"Matsuyama, Hideki",3,-3,0.18,0.217,1.237,-0.108,1.348,1.521,302.375,0.5357149999999999,0.6666675,26.91803953488372,56.5218875,0.6071446428571429,3.5,3.5,1.13
T26,"Baker, Chris",3,2,1.625,-0.247,0.652,-0.505,-0.098,1.521,297.775,0.464285,0.569445,40.13841363636364,54.47367307692308,0.5454533333333333,4.75,3.5,0.147
T26,"Hoshino, Rikuya",3,0,0.252,-0.362,1.948,-0.312,1.275,1.521,305.15,0.5178575,0.6527775,24.967007317073172,64.20405769230769,0.617645,3.25,3.75,1.635
T26,"Kaymer, Martin",3,2,0.69,-0.088,1.852,-0.933,0.838,1.521,291.65,0.44643,0.625,26.992344680851062,69.31148,0.6086973913043479,4.25,2.75,0.92
T31,"Rodgers, Patrick",4,-1,1.63,-0.768,-0.345,0.765,-0.352,1.271,319.125,0.5,0.6805575,30.83690222222222,62.485944,0.5384634615384616,5.5,3.75,0.42
T31,"Bezuidenhout, Christiaan",4,5,0.373,0.34,0.98,-0.413,0.905,1.271,293.85,0.5535725,0.65278,28.109077083333332,57.62441304347826,0.5599984,3.5,2.75,0.567
T31,"Niemann, Joaquin",4,2,-0.225,-0.235,0.815,0.925,1.502,1.271,317.275,0.5,0.6388874999999999,29.840170454545458,68.87834583333333,0.56250125,4.5,5,1.74
T31,"Wu, Dylan",4,0,0.49,1.262,-0.085,-0.397,0.782,1.271,300.75,0.39285749999999997,0.5555575,35.61173170731708,73.23271,0.7058826470588235,4.25,3,-0.483
T35,"Scott, Adam",5,2,1.08,0.295,-0.468,0.118,-0.053,1.021,306.3,0.4107175,0.569445,31.14204,74.89786,0.5882388235294117,3.25,3.5,-0.35
T35,"MacIntyre, Robert",5,2,-0.318,0.477,0.637,0.23,1.345,1.021,305.95,0.5,0.6250025,37.45628000000001,51.99651923076923,0.64706,2.5,4,0.867
T35,"Im, Sungjae",5,5,0.405,0.31,0.302,0.01,0.623,1.021,297.775,0.5535725,0.6388925,34.41386086956521,47.20892727272727,0.6562484375,3.25,3.75,0.313
T35,"Griffin, Lanto",5,4,-0.02,-0.05,1.108,-0.01,1.048,1.021,303.05,0.48214250000000003,0.5555575,32.40254634146341,51.53747407407407,0.5609756097560976,3,4,1.098
T35,"Molinari, Edoardo",5,0,0.473,-0.455,0.823,0.185,0.555,1.021,299.4,0.5535725,0.625,33.637008510638296,57.62293181818182,0.586208275862069,4.75,4.75,1.008
T40,"Poulter, Ian",6,6,1.285,-0.22,-0.422,0.135,-0.508,0.771,293.42499999999995,0.6428575,0.555555,32.88347884615384,59.988074999999995,0.5937496875,3.25,4.25,-0.288
T40,"Reavie, Chez",6,3,-1.022,0.425,1.258,0.115,1.8,0.771,287.175,0.7500025,0.625,30.631966666666667,51.63336666666666,0.5862072413793104,3.5,4.75,1.372
T40,"Poston, J.T.",6,3,1.115,0.197,-0.278,-0.26,-0.337,0.771,297.175,0.5178575,0.5972225,31.126648936170213,73.0403,0.6451616129032258,4.75,4,-0.538
T40,"Kim, Si Woo",6,3,-0.637,-0.068,0.617,0.865,1.415,0.771,302.75,0.6607149999999999,0.597225,29.604362499999997,54.25956,0.5142857142857142,4,5,1.482
T40,"Hadwin, Adam",6,2,2.07,0,-0.698,-0.593,-1.292,0.771,295.425,0.5357149999999999,0.52778,34.143085416666665,57.1113875,0.6571411428571429,4.5,5,-1.29
T40,"Ormsby, Wade",6,0,0.2,0.1,0.812,-0.333,0.577,0.771,287.525,0.67857,0.625,32.96363888888889,70.81569999999999,0.5555555555555556,1.75,3.5,0.48
T46,"Lamb, Rick",7,0,2.018,-1.642,-0.172,0.32,-1.49,0.521,301.875,0.57143,0.63889,33.71968367346939,53.27947,0.53125,4,3,0.148
T46,"Hoge, Tom",7,1,-0.01,0,0.372,0.167,0.537,0.521,291.6,0.6607149999999999,0.5972225,31.564578181818177,48.049425,0.5517227586206896,3,4.5,0.54
T46,"Westwood, Lee",7,6,0.503,-0.185,-0.235,0.438,0.025,0.521,300.7,0.607145,0.5833325,31.426466666666666,47.863485714285716,0.6176488235294118,3,3.75,0.202
T46,"Frittelli, Dylan",7,3,1.353,-0.385,-0.85,0.407,-0.825,0.521,314.1,0.410715,0.5416675,36.06820555555556,56.499268965517246,0.6585368292682927,3,4.75,-0.443
T50,"Cabrera Bello, Rafa",8,3,0.47,0.28,-0.405,-0.067,-0.193,0.271,297.425,0.5357149999999999,0.6249975,37.071716,47.65832380952381,0.6774196774193548,2.25,4.25,-0.473
T50,"Watson, Bubba",8,5,-0.07,0.19,-0.363,0.52,0.348,0.271,306.1,0.5357149999999999,0.569445,33.834843478260865,50.276785714285715,0.5405437837837839,4.25,4.5,0.157
T50,"Fleetwood, Tommy",8,2,0.96,-0.485,0.06,-0.263,-0.683,0.271,303.825,0.375,0.583335,30.542721951219512,78.630996875,0.5151512121212121,4,4.5,-0.202
T50,"Woodland, Gary",8,3,-0.37,-0.335,-0.167,1.15,0.647,0.271,311.875,0.5892850000000001,0.5972225,32.458217391304345,50.223743478260864,0.4705876470588235,2.75,4,0.982
T50,"Bland, Richard",8,7,0.62,0.47,-1.2,0.393,-0.342,0.271,291.625,0.7142875,0.5416675,33.571539655172415,44.013264285714286,0.5862062068965517,3,5.25,-0.808
T55,"Kisner, Kevin",9,4,0.837,0.205,-0.647,-0.367,-0.81,0.021,292.725,0.5,0.569445,31.911822,71.99938636363636,0.6551734482758621,2.25,3,-1.015
T55,"Fitzpatrick, Matt",9,5,-0.81,-0.11,0.313,0.637,0.837,0.021,307.025,0.5714275,0.597225,32.062654,53.17137222222222,0.4857128571428571,4.25,6,0.95
T57,"Cink, Stewart",10,4,-0.07,-0.072,0.045,-0.133,-0.152,-0.229,305.15,0.410715,0.555555,29.78402380952381,71.33915161290322,0.5624984375,3.25,3.25,-0.088
T57,"Vegas, Jhonattan",10,5,-1.47,-0.025,0.75,0.515,1.248,-0.229,313.9,0.464285,0.6944475,27.188609090909093,61.02041200000001,0.4827579310344828,3.75,6.5,1.265
T57,"Bhatia, Akshay",10,4,-0.527,0.59,-0.297,0.008,0.305,-0.229,303.225,0.5357149999999999,0.52778,39.13647333333333,46.557563157894734,0.52499925,2.75,5.25,-0.29
T57,"Montgomery, Taylor",10,3,1.748,-0.915,-2.025,0.968,-1.97,-0.229,310.975,0.57143,0.4999975,42.93307708333333,50.25486818181818,0.6097565853658536,5,5,-1.058
T57,"Hoffman, Charley",10,5,0.07,-0.058,-0.542,0.307,-0.292,-0.229,309.775,0.42857,0.597225,34.037159090909086,61.480228,0.4857162857142857,3.25,4,-0.235
T62,"Mickelson, Phil",11,4,-1.15,0.273,0.192,0.212,0.677,-0.479,299.375,0.5178575,0.5555575,36.27106511627907,43.289095833333334,0.6285722857142857,3,5,0.405
T62,"Sigg, Greyson",11,4,-0.877,0.08,0.077,0.247,0.405,-0.479,305,0.4464275,0.555555,30.171537209302326,65.98931071428572,0.47058617647058826,3,3.25,0.325
64,"Leishman, Marc",12,6,0.105,-0.468,0.122,-0.485,-0.828,-0.729,296.725,0.4285725,0.5555575,26.63135625,73.42499600000001,0.5,2.75,5,-0.363
