position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,distance,accuracy,gir,prox_fw,prox_rgh,scrambling,great_shots,poor_shots,sg_bs
1,"Fitzpatrick, Matt",-6,-2,0.057,1.412,1.433,1.195,4.038,4.097,309.25,0.69643,null,null,null,null,null,null,2.627
T2,"Scheffler, Scottie",-5,-3,0.838,-0.387,2.302,1.097,3.007,3.847,313.25,0.6785725,null,null,null,null,null,null,3.4
T2,"Zalatoris, Will",-5,-1,1.802,0.26,1.842,-0.062,2.042,3.847,306.2,0.5535725,null,null,null,null,null,null,1.78
4,"Matsuyama, Hideki",-3,-5,0.938,0.305,2.298,-0.193,2.408,3.347,295.9,0.5178575,null,null,null,null,null,null,2.105
T5,"McIlroy, Rory",-2,-1,2.458,-1.172,0.917,0.89,0.637,3.097,300.925,0.5535725,null,null,null,null,null,null,1.808
T5,"Morikawa, Collin",-2,-4,1.24,0.45,1.132,0.275,1.855,3.097,306.925,0.51786,null,null,null,null,null,null,1.407
T7,"McCarthy, Denny",-1,-2,1.69,-0.005,0.96,0.2,1.155,2.847,297.325,0.6607175,null,null,null,null,null,null,1.16
T7,"Hadwin, Adam",-1,1,1.302,0.798,0.538,0.207,1.542,2.847,296.925,0.6250025,null,null,null,null,null,null,0.745
T7,"Bradley, Keegan",-1,1,0.188,-0.537,2.725,0.475,2.657,2.847,309.65,0.607145,null,null,null,null,null,null,3.2
T10,"Woodland, Gary",0,-1,0.007,0.73,0.652,1.205,2.588,2.597,308.95,0.7142875,null,null,null,null,null,null,1.857
T10,"Dahmen, Joel",0,1,-0.045,0.055,1.995,0.59,2.64,2.597,295.725,0.7142875,null,null,null,null,null,null,2.585
T12,"Rahm, Jon",1,4,0.853,0.077,0.35,1.068,1.493,2.347,309.475,0.5892875,null,null,null,null,null,null,1.417
T12,"Power, Seamus",1,0,1.483,-0.095,1.202,-0.24,0.862,2.347,306.625,0.5357149999999999,null,null,null,null,null,null,0.962
T14,"Scott, Adam",2,-2,0.54,0.788,1.195,-0.427,1.555,2.097,304.4,0.42857,null,null,null,null,null,null,0.768
T14,"Tringale, Cameron",2,-1,1.835,0.148,-0.16,0.273,0.26,2.097,297.55,0.64286,null,null,null,null,null,null,0.113
T14,"Schauffele, Xander",2,-2,0.913,0.653,0.452,0.075,1.183,2.097,298.9,0.5178575,null,null,null,null,null,null,0.527
T14,"Munoz, Sebastian",2,0,0.82,0.222,0.403,0.655,1.275,2.097,293.6,0.6249975,null,null,null,null,null,null,1.058
T14,"Cantlay, Patrick",2,-1,1.282,0.128,-0.333,1.02,0.812,2.097,318.95,0.57143,null,null,null,null,null,null,0.687
T14,"Leishman, Marc",2,-2,0.835,0.485,1.117,-0.342,1.26,2.097,302.875,0.5178575,null,null,null,null,null,null,0.775
T14,"Buckley, Hayden",2,1,0.065,0.745,0.963,0.325,2.03,2.097,309,0.607145,null,null,null,null,null,null,1.288
T14,"Hardy, Nick",2,2,2.345,-0.323,0.21,-0.132,-0.25,2.097,293.5,0.5178575,null,null,null,null,null,null,0.078
T14,"Migliozzi, Guido",2,-4,1.665,-0.155,0.69,-0.1,0.43,2.097,297.95,0.5,null,null,null,null,null,null,0.59
23,"Kim, Tom",3,0,1.098,1.03,-0.407,0.132,0.748,1.847,292.4,0.732145,null,null,null,null,null,null,-0.275
T24,"Johnson, Dustin",4,2,-0.132,0.13,0.927,0.677,1.728,1.597,318.5,0.55357,null,null,null,null,null,null,1.605
T24,"Hughes, Mackenzie",4,0,1.055,-0.203,0.595,0.15,0.54,1.597,295.55,0.5178575,null,null,null,null,null,null,0.745
T24,"Schenk, Adam",4,1,0.662,0.647,0.143,0.142,0.933,1.597,305.75,0.5535725,null,null,null,null,null,null,0.285
T27,"Burns, Sam",5,6,1.282,0.72,-0.155,-0.5,0.062,1.347,295.375,0.4464275,null,null,null,null,null,null,-0.655
T27,"Lee, Min Woo",5,3,0.477,0.163,-0.115,0.823,0.868,1.347,306.125,0.5892875,null,null,null,null,null,null,0.708
T27,"Wise, Aaron",5,4,0.088,1.078,-0.343,0.528,1.257,1.347,304.125,0.607145,null,null,null,null,null,null,0.185
T27,"Pieters, Thomas",5,2,1.185,-0.633,-0.13,0.922,0.16,1.347,314.275,0.5892875,null,null,null,null,null,null,0.792
T31,"Rodgers, Patrick",6,4,0.74,-0.02,-0.032,0.41,0.355,1.097,311.15,0.5892875,null,null,null,null,null,null,0.378
T31,"Putnam, Andrew",6,2,1.43,0.598,-0.48,-0.447,-0.335,1.097,291.05,0.6071425,null,null,null,null,null,null,-0.927
T31,"Riley, Davis",6,4,0.147,-0.495,1.682,-0.237,0.948,1.097,302.85,0.5,null,null,null,null,null,null,1.445
T31,"Tarren, Callum",6,-1,-0.445,0.025,1.672,-0.158,1.54,1.097,306.925,0.464285,null,null,null,null,null,null,1.515
T31,"Daffue, MJ",6,-1,0.685,-0.105,0.835,-0.32,0.41,1.097,309.75,0.339285,null,null,null,null,null,null,0.515
T31,"Sinnott, Todd",6,0,0.86,0.092,0.675,-0.535,0.235,1.097,300.05,0.5,null,null,null,null,null,null,0.14
T37,"Thomas, Justin",7,4,-0.565,-0.525,1.68,0.26,1.41,0.847,304.55,0.4464275,null,null,null,null,null,null,1.94
T37,"Rose, Justin",7,2,0.255,0.327,0.445,-0.182,0.59,0.847,295.15,0.5,null,null,null,null,null,null,0.262
T37,"Spieth, Jordan",7,4,-0.07,0.02,0.825,0.072,0.915,0.847,309.125,0.4464275,null,null,null,null,null,null,0.897
T37,"Lee, K.H.",7,1,-0.593,0.557,-0.058,0.943,1.438,0.847,305.025,0.732145,null,null,null,null,null,null,0.885
T37,"NeSmith, Matt",7,6,0.555,-0.225,0.18,0.335,0.29,0.847,307.025,0.625,null,null,null,null,null,null,0.515
T37,"Bramlett, Joseph",7,2,-2.43,1.005,1.923,0.35,3.275,0.847,302.04999999999995,0.5,null,null,null,null,null,null,2.272
T43,"Harman, Brian",8,6,0.582,-0.627,0.37,0.275,0.013,0.597,292.05,0.6250025,null,null,null,null,null,null,0.645
T43,"Gotterup, Chris",8,1,-1.49,0.623,1.117,0.345,2.085,0.597,319.775,0.464285,null,null,null,null,null,null,1.462
T43,"Bland, Richard",8,4,0.262,-0.02,0.725,-0.37,0.333,0.597,299,0.607145,null,null,null,null,null,null,0.355
T43,"Vick, Travis",8,3,1.465,-1.103,-0.24,0.472,-0.87,0.597,319.525,0.6071425,null,null,null,null,null,null,0.233
T47,"Homa, Max",9,2,-1.505,0.493,0.825,0.532,1.85,0.347,291.925,0.607145,null,null,null,null,null,null,1.357
T47,"Niemann, Joaquin",9,2,-0.733,-0.198,0.903,0.377,1.078,0.347,313.15,0.4464275,null,null,null,null,null,null,1.28
T49,"Reed, Patrick",10,4,-0.267,0.782,-0.297,-0.122,0.362,0.097,297.175,0.48214250000000003,null,null,null,null,null,null,-0.42
T49,"Lingmerth, David",10,7,1.175,0.578,-1.333,-0.328,-1.08,0.097,289.125,0.5892875,null,null,null,null,null,null,-1.66
T49,"Stevens, Sam",10,5,-0.125,-0.635,0.537,0.318,0.22,0.097,306.25,0.607145,null,null,null,null,null,null,0.855
T49,"Bennett, Sam",10,3,-0.23,-0.355,-0.06,0.742,0.325,0.097,301.775,0.67857,null,null,null,null,null,null,0.683
T53,"Soderberg, Sebastian",11,2,1.362,-0.072,-0.887,-0.557,-1.518,-0.153,287.375,0.464285,null,null,null,null,null,null,-1.445
T53,"Hossler, Beau",11,7,-0.075,0.77,-0.745,-0.098,-0.08,-0.153,309.15,0.517855,null,null,null,null,null,null,-0.843
55,"Koepka, Brooks",12,7,0.245,-1.062,-0.43,0.843,-0.65,-0.403,320.55,0.5,null,null,null,null,null,null,0.413
T56,"DeChambeau, Bryson",13,5,-0.063,-0.16,-0.12,-0.312,-0.593,-0.653,322.2,0.41071250000000004,null,null,null,null,null,null,-0.433
T56,"Hatton, Tyrrell",13,4,-0.505,0.665,-0.907,0.095,-0.15,-0.653,314.225,0.5,null,null,null,null,null,null,-0.812
T56,"Naegel, Chris",13,4,0.39,0.458,-1.183,-0.315,-1.045,-0.653,305.9,0.4464275,null,null,null,null,null,null,-1.498
T56,"Besseling, Wil",13,4,-1.13,-1.012,0.3,1.185,0.475,-0.653,303.125,0.5535725,null,null,null,null,null,null,1.485
60,"Matthews, Brandon",16,7,0.3,0.175,-1.647,-0.23,-1.705,-1.403,306.25,0.30357,null,null,null,null,null,null,-1.877
T61,"English, Harris",17,7,-1.603,0.178,0.377,-0.61,-0.052,-1.653,299.725,0.5714275,null,null,null,null,null,null,-0.233
T61,"Greaser, Austin",17,9,-0.345,-0.688,0.153,-0.772,-1.31,-1.653,302.4,0.375,null,null,null,null,null,null,-0.62
63,"Murray, Grayson",18,10,-0.777,-1.015,-0.963,0.852,-1.128,-1.903,316.725,0.48214250000000003,null,null,null,null,null,null,-0.11
64,"Hagestad, Stewart",19,7,-0.655,-1.407,-0.018,-0.072,-1.5,-2.153,301.625,0.5357149999999999,null,null,null,null,null,null,-0.09
CUT,"Kisner, Kevin",4,null,-0.15,0.945,-0.205,-0.21,0.53,0.381,296.45000000000005,0.5357149999999999,null,null,null,null,null,null,-0.415
CUT,"Furyk, Jim",4,null,2.68,0.06,0.61,-2.97,-2.3,0.381,267.05,0.5,null,null,null,null,null,null,-2.36
CUT,"Horschel, Billy",4,null,-0.3,0.365,0.07,0.245,0.68,0.381,301.65,0.5,null,null,null,null,null,null,0.315
