position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,distance,accuracy,gir,prox_fw,prox_rgh,scrambling,great_shots,poor_shots,sg_bs
1,"Scheffler, Scottie",-10,-1,0.715,1.437,1.44,0.763,3.64,4.355,302.25,0.767855,0.680555,46.26038421052631,52.749663636363636,0.7272742424242424,4.5,3,2.203
2,"McIlroy, Rory",-7,-8,-0.223,1.931,0.812,1.085,3.828,3.605,308.075,0.6785725,0.6944425,37.41190508474576,77.19985,0.6451616129032258,5,3.5,1.897
T3,"Smith, Cameron",-5,1,0.984,0.477,2.313,-0.669,2.121,3.105,296.55,0.6607149999999999,0.65278,37.83047846153846,51.00553333333333,0.5600004,5,5.25,1.644
T3,"Lowry, Shane",-5,-3,1.422,1.412,-0.97,1.241,1.683,3.105,298.275,0.8214250000000001,0.6388875,39.889805172413794,50.403814285714276,0.7297321621621622,3.5,3.75,0.271
5,"Morikawa, Collin",-4,-5,0.18,0.952,1.326,0.397,2.675,2.855,295.35,0.7857125,0.6527775,31.392038596491226,39.23457142857143,0.562502188,3.75,3.25,1.723
T6,"Conners, Corey",-3,-2,0.225,1.132,0.644,0.604,2.38,2.605,293.85,0.732145,0.6527775,45.92372413793103,46.36307272727272,0.6111125,3.5,3.5,1.248
T6,"Zalatoris, Will",-3,-5,1.402,0.842,-0.193,0.554,1.203,2.605,304.5,0.6964275,0.5694425000000001,41.491911290322584,62.23828888888889,0.6944436111111111,5.5,4.75,0.361
T8,"Thomas, Justin",-1,0,0.72,0.66,1.346,-0.621,1.385,2.105,300.975,0.57143,0.5555525,35.67367059,63.19555882352941,0.675,5,5.75,0.725
T8,"Im, Sungjae",-1,3,0.936,0.222,0.382,0.565,1.169,2.105,299.1,0.75,0.6111125,36.30583333333333,50.12694285714286,0.5588226470588236,4.5,4.25,0.947
T10,"Schwartzel, Charl",0,2,-0.042,0.634,1.582,-0.319,1.898,1.855,294.625,0.69643,0.6666675,38.785474576271184,82.60359166666666,0.6296303703703703,3,3.25,1.263
T10,"Champ, Cameron",0,-2,0.299,-0.134,0.858,0.833,1.556,1.855,313.925,0.732145,0.694445,33.55153035714286,53.636272727272726,0.6333323333333334,4.5,3.25,1.691
T12,"Johnson, Dustin",1,0,-0.609,1.137,0.975,0.103,2.214,1.605,293.375,0.6607175,0.63889,42.385688888888886,52.26308125,0.62500125,3.5,3.75,1.077
T12,"Willett, Danny",1,1,2.135,-0.086,-0.729,0.285,-0.53,1.605,296.375,0.6607149999999999,0.555555,49.24221764705882,45.8955625,0.6666664102564103,2.5,2.75,-0.444
