position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,distance,accuracy,gir,prox_fw,prox_rgh,scrambling,great_shots,poor_shots,sg_bs
1,"Rahm, Jon",-12,-3,0.495,0.775,1.205,1.579,3.559,4.01,301.5,0.8571425,0.7222225,38.52907230769231,33.1543,0.7777792592592592,4.75,2,2.784
T2,"Koepka, Brooks",-8,3,1.232,-0.373,1.617,0.578,1.822,3.01,301.95,0.7857149999999999,0.6666675,31.04423585,44.9164125,0.6969678787878788,3.5,2.5,2.195
T2,"Mickelson, Phil",-8,-7,1.243,-0.171,1.173,0.809,1.811,3.01,293.95,0.8214250000000001,0.65278,36.01105172413793,52.95525,0.593750625,5.5,2.75,1.982
T4,"Henley, Russell",-7,-2,1.24,1.423,0.057,0.085,1.564,2.76,282.075,0.892855,0.6666675,38.3827375,72.158,0.7857142857142857,3,2,0.141
T4,"Spieth, Jordan",-7,-6,0.844,0.771,0.662,0.527,1.96,2.76,298.475,0.7321425,0.61111,33.69855892857143,65.30774545454545,0.6666666666666667,3.75,3,1.189
T4,"Reed, Patrick",-7,-4,0.827,1.001,0.837,0.14,1.978,2.76,286.45000000000005,0.80357,0.625,39.76470163934427,67.10562222222222,0.6363651515151515,4.25,3.25,0.977
T7,"Hovland, Viktor",-6,2,0.813,0.057,0.731,0.953,1.741,2.51,296.675,0.875,0.6111125000000001,37.65314838709678,40.40195,0.5999994285714285,5,4,1.684
T7,"Young, Cameron",-6,-4,1.152,-0.239,0.044,1.598,1.403,2.51,308.725,0.8392825,0.6666675,36.26359047619047,125.56086,0.5428602857142857,6.25,3.25,1.641
9,"Theegala, Sahith",-5,-5,0.81,0.335,0.438,0.722,1.495,2.26,300.175,0.7857125,0.65278,35.48940938,122.04334,0.5806445161290322,4.5,2.25,1.16
T10,"Scheffler, Scottie",-4,-2,-1.157,0.382,1.711,1.12,3.212,2.01,303.05,0.7321425,0.76389,28.71261578947368,80.00502,0.6086943478260869,3.25,3.5,2.83
T10,"Schauffele, Xander",-4,-1,0.009,0.732,1.226,0.088,2.045,2.01,294.575,0.7678575,0.7222225,36.113439655172414,62.324025,0.6428575,3,4,1.313
T10,"Fitzpatrick, Matt",-4,-2,0.782,-0.727,1.038,0.961,1.272,2.01,300.225,0.7857125,0.6388875,35.93296440677966,79.72995,0.6451629032258064,3.25,3.25,2
T10,"Morikawa, Collin",-4,0,0.606,0.255,0.757,0.436,1.449,2.01,298.2,0.80357,0.6388925000000001,33.14892241,42.849624999999996,0.6875,3.25,3.25,1.193
T14,"Woodland, Gary",-3,0,0.607,-0.354,1.092,0.46,1.198,1.76,300.75,0.7500025,0.7083349999999999,35.388130909090904,77.54108889,0.558824706,3,4,1.552
T14,"Cantlay, Patrick",-3,3,-0.975,0.616,1.543,0.62,2.779,1.76,299.675,0.80357,0.75,39.326523333333334,76.2937,0.6000004000000001,4.5,5,2.163
T16,"Niemann, Joaquin",-2,0,0.902,0.497,-0.96,1.114,0.652,1.51,312.275,0.7321425,0.6111125000000001,36.18748771929825,74.43468,0.5526328947368421,4,4.5,0.155
T16,"Lowry, Shane",-2,1,-0.42,0.67,0.157,1.148,1.974,1.51,292.7,0.892855,0.708335,43.66253235294118,48.559799999999996,0.6086960869565217,3.5,3,1.305
T16,"Matsuyama, Hideki",-2,3,-0.484,1.145,0.761,0.132,2.038,1.51,280.8,0.8571425,0.6111125000000001,37.18627813,65.83109999999999,0.6666650000000001,2.75,3.5,0.893
T16,"Im, Sungjae",-2,0,0.044,0.629,0.84,0.041,1.51,1.51,284.05,0.7678575,0.5972225,39.33409636363636,71.15039166666668,0.6111111111111112,3.5,3,0.881
T16,"Rose, Justin",-2,1,1.516,0.416,0.064,-0.442,0.038,1.51,289.325,0.7499975,0.5972225,36.19556393442623,68.3896,0.71875125,3.5,3.5,-0.379
T16,"Kim, Tom",-2,-2,0.415,-0.09,0.632,0.597,1.139,1.51,289.225,0.8392850000000001,0.7083325,36.74646612903226,52.813379999999995,0.5666676666666667,3.25,3.5,1.229
T16,"Bennett, Sam",-2,2,0.262,0.35,1.042,-0.099,1.292,1.51,289.475,0.80357,0.6388875,38.14255469,70.35023333333332,0.6774209677419355,3.5,3,0.942
T23,"Kirk, Chris",-1,-1,0.766,0.468,0.592,-0.522,0.538,1.26,284.25,0.8214275,0.597225,40.57797878787879,50.2024,0.656249375,3.5,3.75,0.07
T23,"Bradley, Keegan",-1,-1,0.45,0.845,-0.114,0.122,0.854,1.26,286.725,0.7857149999999999,0.5416675,43.77456393442623,39.91406666666666,0.6969724242424242,3.25,3.25,0.008
T23,"Lee, K.H.",-1,0,-0.339,0.474,0.576,0.594,1.643,1.26,292.05,0.85714,0.597225,44.659057142857144,63.51448333333334,0.6,2.75,4.5,1.169
T26,"Stallings, Scott",0,0,0.823,0.001,-0.008,0.238,0.231,1.01,298.525,0.69643,0.6111125000000001,32.61261896551724,56.36985,0.593751563,3.5,2.25,0.23
T26,"Finau, Tony",0,0,-0.478,0.848,1.128,-0.443,1.532,1.01,294.17499999999995,0.75,0.666665,34.600527586206894,78.96467142857142,0.6206903448275862,2.5,4.25,0.684
T26,"Fox, Ryan",0,1,0.218,0.145,0.479,0.212,0.836,1.01,298.775,0.64286,0.6527775,40.61206724137931,99.08003571428571,0.566667,4.75,4.75,0.691
T29,"Burns, Sam",1,0,-0.051,-0.378,0.59,0.642,0.855,0.76,303.62982456140344,0.8214275,0.6944425,33.62836875,80.42808,0.4814833333333333,4,5.5,1.232
T29,"Kim, Si Woo",1,0,0.036,0.184,0.634,-0.05,0.768,0.76,286.05,0.8214275,0.5972225,44.13062096774193,62.160375,0.5675683783783784,2.5,4.5,0.584
T29,"Varner III, Harold",1,-2,1.212,-0.135,-0.783,0.511,-0.408,0.76,298.625,0.732145,0.5416700000000001,43.211364062499996,51.33835,0.6857125714285714,3.5,3.5,-0.272
T29,"Hughes, Mackenzie",1,-2,0.326,0.041,1.146,-0.709,0.478,0.76,288.75,0.6785725,0.5833325,34.07174262295082,78.71979999999999,0.5757584848484849,5,4.75,0.437
33,"Fleetwood, Tommy",3,2,0.301,-0.205,-0.214,0.422,0.003,0.26,294.025,0.7857125,0.5833325,39.38085254237288,47.5562,0.615384359,3,3.25,0.208
T34,"Smith, Cameron",4,3,0.847,0.031,-0.037,-0.787,-0.793,0.01,284.725,0.6250025,0.5,38.63620892857143,62.23253571428572,0.5526318421052632,3.5,4.5,-0.824
T34,"Gooch, Talor",4,1,0.32,-0.342,0.4,-0.325,-0.266,0.01,288.125,0.7857125,0.625,38.570141935483875,84.36903333333332,0.6176497058823529,3.25,4,0.076
T34,"Poston, J.T.",4,-2,0.001,0.122,0.63,-0.698,0.053,0.01,286.975,0.6964275,0.6250025,37.96642807017544,50.79739090909091,0.6060630303030303,2,3.25,-0.069
T34,"Hatton, Tyrrell",4,4,-0.201,-0.165,0.406,0.013,0.254,0.01,294.5,0.7142875,0.625,39.74900350877193,94.152525,0.6176491176470589,2.75,3.25,0.419
T34,"Johnson, Zach",4,1,-0.649,0.336,0.318,0.05,0.704,0.01,287.375,0.7857149999999999,0.694445,42.98499688,41.34985,0.5555544444444445,2.25,2.5,0.368
T39,"Day, Jason",5,8,-0.056,0.309,0.018,-0.468,-0.141,-0.24,291.07586206896553,0.7142875,0.597225,41.27742950819672,78.58106000000001,0.606060303,4,4.75,-0.449
T39,"Ancer, Abraham",5,4,0.593,-0.745,-0.129,0.086,-0.789,-0.24,282.575,0.80357,0.625,45.29849047619048,71.64983636363635,0.5517224137931035,3.5,5.25,-0.043
T39,"Scott, Adam",5,2,0.227,0.635,-1.559,0.5,-0.423,-0.24,304.05,0.75,0.63889,39.98943692307693,74.24304285714285,0.5862048275862068,2.75,5.5,-1.058
T39,"Moore, Taylor",5,6,0.011,-0.398,-0.008,0.2,-0.206,-0.24,301.825,0.6607125,0.5972225,37.390330909090906,85.09950769,0.5675686486486486,4,4.75,0.192
T43,"Homa, Max",6,6,-0.146,-0.211,0.861,-0.949,-0.299,-0.49,285.725,0.67857,0.569445,33.114255769230766,68.57875384615384,0.4999975,3,6,-0.088
T43,"English, Harris",6,3,0.554,0.499,-1.287,-0.213,-1,-0.49,283.45,0.78571,0.5972225,48.271525396825396,32.9031125,0.696970606,1.5,4.75,-1.499
T43,"Pereira, Mito",6,1,-1.322,-0.995,1.288,0.584,0.876,-0.49,302.175,0.71429,0.694445,35.920745454545454,53.037641666666666,0.406247188,3.25,5.25,1.871
T46,"Power, Seamus",7,5,1.123,-1.45,0.332,-0.7,-1.819,-0.74,292.47719298245613,0.6964275,0.52778,38.26132542372881,61.3789,0.43902268292682933,4.5,5.75,-0.368
T46,"Straka, Sepp",7,6,0.429,-0.147,-1.704,0.726,-1.125,-0.74,296.54999999999995,0.7321425,0.5277775,43.48765,103.47268461538462,0.604649535,3.25,5,-0.978
T48,"Johnson, Dustin",8,3,-1.196,-0.648,0.512,0.386,0.25,-0.99,300.3070175438596,0.73214,0.66667,33.269084210526316,83.1071,0.42857342857142855,2.75,4.75,0.898
T48,"Pieters, Thomas",8,5,-1.904,-0.005,0.605,0.358,0.958,-0.99,295.275,0.7321425,0.5555575,35.21915172413793,70.21495,0.5000019444444445,4,6.25,0.963
T50,"Schwartzel, Charl",9,5,-0.153,-0.299,0.263,-1.006,-1.042,-1.24,286.25,0.5535725,0.5972225,33.84594821428571,83.89312142857142,0.5882376470588235,2.75,3.5,-0.744
T50,"Couples, Fred",9,4,-0.129,0.504,-0.536,-1.035,-1.067,-1.24,273.2,0.7321425,0.5416650000000001,45.74350156,84.62191,0.4999975,2.25,3.25,-1.571
52,"Horschel, Billy",12,7,0.631,-0.966,-0.946,-0.665,-2.577,-1.99,287.825,0.6607149999999999,0.5833325,39.307237931034486,106.83583333333334,0.5428582857142856,3.75,6.5,-1.611
53,"Mitchell, Keith",14,7,-0.364,-0.627,-1.317,-0.138,-2.082,-2.49,301.23333333333335,0.6607149999999999,0.6250025,43.65289180327869,76.05516153846155,0.42424212121212124,3.25,5,-1.454
CUT,"Thomas, Justin",4,null,-1.196,0.117,-0.74,0.657,0.035,-1.196,296.5,0.7857149999999999,0.583335,38.67226896551724,110.19606000000002,0.6315815789473684,2.5,2,-0.082
CUT,"Hoge, Tom",4,null,-1.57,0.655,0.008,-0.255,0.407,-1.196,292.95000000000005,0.82143,0.6666700000000001,33.40875,46.193349999999995,0.5454518181818182,2,5.5,-0.247
CUT,"Weir, Mike",4,null,-0.209,1.127,-0.719,-1.361,-0.953,-1.196,270.5,0.67857,0.5,41.44141034482759,82.6563,0.6666661111111112,1.5,5.5,-2.081
CUT,"DeChambeau, Bryson",4,null,-0.801,-0.869,-1.034,1.542,-0.361,-1.196,309.95,0.7142850000000001,0.63889,38.56104516129032,54.2756,0.41176352941176475,3.5,3.5,0.508
CUT,"Molinari, Francesco",4,null,-0.804,0.45,-1.104,0.296,-0.358,-1.196,284.85,0.892855,0.6111150000000001,47.6453125,105.6583,0.5882329411764706,2,3.5,-0.808
CUT,"McIlroy, Rory",5,null,-0.852,-1.343,-1.312,1.844,-0.81,-1.696,323.55,0.7142850000000001,0.555555,35.09981379310345,74.64284,0.4,4.5,6,0.532
CUT,"Kisner, Kevin",5,null,1.762,1.867,-1.23,-4.06,-3.424,-1.696,272.70000000000005,0.42857,0.36111000000000004,59.13945517,95.77513333333333,0.8333305555555555,2.5,6.5,-5.29
CUT,"Meronk, Adrian",5,null,0.384,-0.296,-0.569,-1.181,-2.046,-1.696,295.75,0.64286,0.583335,39.29568387096774,84.7381,0.6875,5.5,8.5,-1.75
CUT,"Langer, Bernhard",5,null,-1.073,1.034,-0.469,-1.154,-0.589,-1.696,265.1,0.892855,0.5833349999999999,41.83885,123.9956,0.6000019999999999,2.5,3,-1.623
CUT,"Carr, Ben",5,null,-1.676,0.035,-1.093,1.073,0.014,-1.696,299.95000000000005,0.85714,0.722225,39.17037096774193,81.352525,0.5,1.5,5.5,-0.02
CUT,"Willett, Danny",6,null,-1.666,-0.129,-0.251,-0.115,-0.496,-2.196,289.4,0.75,0.5833349999999999,45.91387777777778,57.922720000000005,0.4285690476190476,2,5,-0.366
CUT,"Champ, Cameron",6,null,0.938,-1.594,-1.728,0.223,-3.1,-2.196,309.4,0.71429,0.52778,41.371445161290325,116.798325,0.48000240000000005,4.5,4,-1.505
CUT,"Singh, Vijay",6,null,-1.774,0.233,0.212,-0.833,-0.389,-2.196,285.45,0.7142850000000001,0.61111,35.875622580645164,43.91595,0.5000014285714285,2.5,7.5,-0.621
CUT,"Lee, Min Woo",6,null,0.342,0.095,-3.439,0.84,-2.504,-2.196,312.1,0.6785749999999999,0.47222,53.3388,77.75082,0.6249958333333334,4,6,-2.599
CUT,"Higa, Kazuki",6,null,-0.822,1.006,-0.861,-1.485,-1.34,-2.196,276.5,0.6785749999999999,0.55556,45.87165,41.033150000000006,0.49999650000000007,3,6,-2.345
CUT,"Harman, Brian",7,null,-1,0.939,-1.448,-1.152,-1.661,-2.696,294.3,0.6785749999999999,0.472225,40.17485,50.28552,0.6818181818181818,2,7,-2.599
CUT,"Garcia, Sergio",7,null,-0.979,-1.361,-0.5,0.177,-1.683,-2.696,299.75,0.75,0.61111,37.74105172413793,75.7472,0.428572381,1.5,6,-0.323
CUT,"Potgieter, Aldrich",7,null,0.327,-3.34,-1.566,1.917,-2.989,-2.696,323.35,0.75,0.555555,38.1316,87.10986,0.3043439130434783,6,5,0.352
CUT,"Fernandez De Oliveira, Mateo",7,null,0.412,0.087,-2.686,-0.474,-3.074,-2.696,292.05,0.75,0.47222,43.886399999999995,91.14985,0.6521739130434783,2,5,-3.16
CUT,"Mcclean, Matthew",7,null,0.815,-1.645,-0.052,-1.78,-3.476,-2.696,272.79999999999995,0.607145,0.47222,44.668000000000006,63.00776666666667,0.6086952173913043,2.5,4.5,-1.832
CUT,"Conners, Corey",8,null,-1.454,-2.455,-0.191,0.939,-1.708,-3.196,299.9,0.7857149999999999,0.5833349999999999,33.7475,86.39355,0.42857333333333336,2.5,5,0.748
CUT,"Kokrak, Jason",8,null,-2.282,-0.175,-1.569,0.863,-0.881,-3.196,308.35,0.71429,0.555555,37.52433870967742,67.32642,0.5238114285714286,2.5,7.5,-0.706
CUT,"Kitayama, Kurt",8,null,-2.978,-0.35,0.222,-0.056,-0.184,-3.196,291.4,0.64286,0.52778,31.23253103448276,60.83076666666666,0.5263131578947369,1,6,0.166
CUT,"Crowe, Harrison",8,null,-1.888,1.109,-1.24,-1.143,-1.274,-3.196,298,0.57143,0.555555,36.55446071428571,86.52732857142857,0.5882376470588235,1.5,5.5,-2.382
CUT,"Watson, Bubba",9,null,-1.277,-0.572,-1.508,-0.305,-2.384,-3.696,291.75,0.6785749999999999,0.5,48.95326923076923,79.12140000000001,0.42857,2,6.5,-1.813
CUT,"Noren, Alex",9,null,-0.459,0.108,-0.72,-2.591,-3.202,-3.696,283.85,0.5357149999999999,0.527775,47.253074999999995,60.645199999999996,0.4736868421052632,2,5.5,-3.31
CUT,"Sargent, Gordon",9,null,-1.532,-3.745,0.481,1.134,-2.131,-3.696,323.1,0.7142850000000001,0.6666650000000001,36.39373870967742,69.2214,0.27273000000000003,5,7,1.615
CUT,"Olazabal, Jose Maria",10,null,-0.312,0.565,-2.205,-2.21,-3.85,-4.196,256.75,0.7857149999999999,0.33333500000000005,48.1987,65.5458,0.5833308333333334,2.5,7,-4.415
CUT,"Svensson, Adam",11,null,-2.614,-0.792,-0.679,-0.576,-2.047,-4.696,286.45000000000005,0.78571,0.555555,38.48521785714286,121.00824999999999,0.400002,3.5,6.5,-1.256
CUT,"Mize, Larry",15,null,-1.756,0.059,-1.651,-3.314,-4.905,-6.696,241.5,0.8214250000000001,0.33333,41.57481428571428,58.817,0.4761885714285714,1.5,7,-4.966
CUT,"Lyle, Sandy",20,null,0.68,-1.825,-2.912,-5.105,-9.842,-9.196,242.9,0.607145,0.36111000000000004,49.39055938,62.6009,0.3157915789473684,4,12,-8.018
WD,"Woods, Tiger",3,null,0.232,0.093,-0.527,-0.46,-0.895,-0.696,287.75454545454545,0.6969727272727273,0.5581379069767443,40.61893333333333,67.52177999999999,0.6956513043478261,2.67,4.67,-0.987
WD,"Oosthuizen, Louis",4,null,2.294,-1.583,-2.11,-2.222,-5.914,-3.663,278.9074074074074,0.7407396296296296,0.5142848571428571,41.80745333333333,57.852,0.55,3,4.5,-4.332
